ORF,Name,Allele,StrainID
YLR078C,BOS1,bos1-1,tsa199
YOR046C,DBP5,dbp5-1,tsa641
YOR212W,STE4,ste4,tsa195
YPL217C,BMS1,bms1-1,tsa678
YMR049C,ERB1,erb1-5001,tsa1102
YKL013C,ARC19,arc19-5001,tsa1269
YJL174W,KRE9,kre9-5001,tsa1267
YGR119C,NUP57,nup57-e17,tsa954
YGL234W,"ADE5,7","ade5,7",tsa310
YGL233W,SEC15,sec15-1,tsa40
YNL138W,SRV2,srv2-ts,tsa675
YLR195C,NMT1,nmt1-181,tsa690
YFR031C,SMC2,smc2-8,tsa522
YPL076W,GPI2,gpi2-1-7b,tsa462
YBR135W,CKS1,cks1-38,tsa332
YKL006C-A,SFT1,sft1-15,tsa619
YDR172W,SUP35,sup35-td,tsa28
YDR189W,SLY1,sly1-ts,tsa251
YER171W,RAD3,rad3-ts14,tsa588
YLR071C,RGR1,rgr1-100,tsa908
YPL190C,NAB3,nab3-11,tsa861
YGL137W,SEC27,sec27-1,tsa546
YIL068C,SEC6,sec6-4,tsa38
YDL145C,COP1,cop1-1,tsa704
YGL065C,ALG2,alg2-1,tsa461
YLR305C,STT4,stt4-4,tsa123
YGL073W,HSF1,hsf1-848,tsa423
YML126C,ERG13,erg13-5001,tsa1104
YER090W,TRP2,trp2,tsa211
YML015C,TAF11,taf11-ts2,tsa645
YMR236W,TAF9,taf9-ts2,tsa730
YLR440C,SEC39,sec39-1,tsa725
YBR080C,SEC18,sec18-1,tsa54
YOR329C,SCD5,scd5-d338,tsa569
YBR070C,ALG14,alg14-5001,tsa1061
YNL287W,SEC21,sec21-1,tsa46
YIL048W,NEO1,neo1-2,tsa188
YDR238C,SEC26,sec26-f856aw860a,tsa721
YJR068W,RFC2,rfc2-1,tsa342
