ORF,Name,Allele,StrainID,Plate,Row,Column,Time,score,is_inlier
YOR202W,HIS3,his3,tsa1,1,1,1,6,8.778605917902915e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0003385442077774581,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.14721440132562957,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.11453075901635223,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.3329192293790497,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-4.397591310234539e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.36031613956805564,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.03922487140515463,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.7711940910252233,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00033706056615767643,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.3648333511201747,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.00018050852377182736,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0001957607078588719,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.47637548568179855,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-7.932936619892139e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.726628386842896,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.8884324178798,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.46960790207286873,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.6901448618537755,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.0003600997111641302,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.4927228258711067,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.08057911241049442,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,0.0003462073636908425,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.7902658989845683,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.5524483703550396,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,9.920869378321484e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00024238724467684492,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.4583653145171813,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.37881989992802767,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,3.1277168105692255e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00042625360062009676,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-5.587754393965305e-05,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,8.317906730281877e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.9342011010387912,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,9.81932899175586e-05,False
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.8489349781425424,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.4754422077149434,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.7715303851026272,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.7254928082081025,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.0673467050935337,True
YOR202W,HIS3,his3,tsa1,1,1,1,6,-0.00023361952078970738,True
