ORF,Name,Allele,StrainID,Plate,Row,Column,Time,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42
YOR202W,HIS3,his3,tsa1,1,1,1,6,-1.6675171766503918,-13.57987188832501,-5.007585823737239,9.847784332589956,-1.6881787004167084,6.036632683554551,-4.026128162289369,-2.521239820926514,4.473478888931302,0.5512253985126288,-5.081593308946905,-0.6227520407427821,-3.7477178277866696,-2.6686376316885227,-1.5913100010182064,2.903507264642382,-3.386102547387022,-3.312001761445074,3.968450643295021,-3.0905488017256655,-1.7038941438269644,-3.06556135806047,-3.8435093533423763,2.807437574580109,0.6299011977843425,1.6555403527804307,5.6164348271131574,0.5526748159100516,0.2563721179906405,-1.1010084623527578,1.748759699494544,-3.97949520176265,3.1892538199549008,2.50173392353523,-0.9904178535724402,-3.1028455744393577,1.6799239970462567,-1.0309669649301723,0.4671688440834155,0.2749345196704751,1.4490402947357395,-1.7345735061058054
YOR202W,HIS3,his3,tsa1,1,1,1,6,-3.992616021929589,-8.479454739448414,-8.982465699503791,7.276111384237675,-5.857160214745071,-1.3642166506807545,0.6763380734530606,-1.9630904725501757,2.013040181216335,2.829166442737555,-1.4433420106083987,2.9463371460222283,-1.5358071587878268,-4.369484164107323,1.8088953824392704,-0.6428173159304873,-2.0941049979708315,1.2352580383944154,6.748147712475554,-0.31890915244440554,-1.557550124110595,-0.17997346299349504,-0.2963590138790526,1.1616189240623196,-2.735807251896653,-0.2905559101905182,-0.942716599384885,2.159864207811545,-0.40146692439431686,1.4290210604723699,-2.7440506867359886,-0.26989413008549157,0.7906314951390867,6.101273733214191,0.4045804565735134,-0.2988806227962253,0.8685937560378088,0.23050744861393155,-2.2481671053967327,0.26416751576168673,1.326709242565625,-1.7340173564416204
YOR202W,HIS3,his3,tsa1,1,1,1,6,15.331562274598573,6.473207652735621,0.1414016595341771,2.662419385112188,1.9137084745501176,3.9536952309265816,-1.143212700536512,2.0522128230366827,3.2152926587517583,-0.5501562356171156,-2.4400343164020555,-0.7252695749979448,-3.281050123137601,-1.1272655140181649,-3.5273270553399603,-0.3810796660030106,1.2226104079460234,3.4196816421394525,2.0013064038412236,0.01941371738162523,0.7928689635623503,-0.147206533839487,0.304492187722923,2.4594230161295814,1.5109298132045959,1.1694732599180524,-0.9565872489696903,-0.013023822689188641,0.3084597186374737,-2.8109490622172926,0.4679449115022007,1.1123045344661533,-0.018157559607307805,-1.671953662449724,1.0475977239652372,1.2443209433124542,1.4275494357165752,0.4775492191321009,0.33359573374565177,0.6101377003273638,0.16316124902702556,-1.7290749727928303
YOR202W,HIS3,his3,tsa1,1,1,1,6,10.65209857374133,-7.046990969851528,5.884163491788924,1.0867030154526778,-1.6025766304815152,2.2316841022028564,-3.3391327565503683,0.5267975101500435,3.084266117337906,-0.07445753959112877,-1.7824275227596773,-3.0390029711470925,-0.4671608032637903,1.770468138111421,-0.7396791490794393,-0.3074198644718399,-1.3262102364902648,1.7692496785790783,1.0714762104842834,-0.38756283383857437,-0.10750588100963299,-0.40519032198729055,2.2742832270666105,0.4862460695082982,0.47654238441356983,-0.1602003045718795,2.5517119701405404,1.0010685109779671,0.4057516973217706,2.7643808675504076,0.29977353586748656,0.24802705742958964,-0.049262311172816875,-0.9903688725611113,-0.5491938028217604,-0.37898368112349806,0.4013633224077019,1.8503352072137906,2.1007474988077313,0.45174911029237563,-1.0304097908135683,-1.7338060107576725
YOR202W,HIS3,his3,tsa1,1,1,1,6,17.56074839732055,2.7585063542823876,1.750651364005431,2.933653283383106,3.3779488300707063,4.978080047558568,-1.764310309815746,2.6546131055216895,2.103229038483322,-0.01834784099083775,-2.359342415597842,0.7087020124326671,0.24185975312848815,-2.347922386700629,-0.5326685032490919,-0.5025613666569565,-0.4755085678354469,1.9201516494362298,-0.12342213722504047,-0.26485445195828466,1.1874633825861478,-0.10428563663163049,1.197121119740692,-0.002046476835682931,0.8108304299045985,1.1062596818523858,1.7915881096013155,0.9361446019399988,-1.7184707255425853,0.49577874200875116,0.8240680616231413,0.9422774587293578,0.16117704810725897,-1.442347046466177,0.9477407107159264,2.0079984360545575,0.9501632681917391,-0.14158621904442792,-1.7523263453628182,2.3642393035595672,-0.9213998889756592,-1.7338385413843698
YOR202W,HIS3,his3,tsa1,1,1,1,6,6.0781138553295655,-7.874794009358829,2.663292013500162,4.698220707459453,-3.3661958926713647,-4.664189710187166,1.9316051753653407,3.4915760774716973,0.8372459639026707,-0.804944311774259,1.5040553984493301,2.581244647302028,-2.806178287634327,-0.5419059876986816,0.4392655439075962,-0.9386898216992384,0.5931192580399175,3.5448852979195773,3.4502687007661854,1.0369736695496874,-3.9969552258288403,1.9257307067228475,1.1907200339164694,0.08207917196654291,1.1515177216766077,-0.5984797089197385,-0.22341378185983762,2.488720101591137,-0.8228808218932907,0.4839185756204822,-0.7843905303650742,0.9660957943774978,1.1731991902135983,2.2970359052636367,-1.748116188980695,1.370022454341696,0.5519697604835554,-0.7803177696532143,-0.31681363440531496,-0.5376577474804469,-0.9619399843759036,-1.7326713359968233
YOR202W,HIS3,his3,tsa1,1,1,1,6,15.30506731257099,5.114413140134445,-0.9515449614255111,2.0751212760417475,0.37527455079665795,-0.21104746564913396,-4.622636227976486,2.5997189466504516,0.01333148956268193,-3.0070213751694896,1.4223003786830062,0.1891368950648611,-2.805086501818199,-0.72199286039213,2.302442290561191,0.10194332881553958,0.7148756037413574,2.992869693763232,3.6736907140158497,-2.832763514984641,0.2925160400067017,-0.47833506162372763,-1.0672575235899284,0.5711196547738234,0.9207840301547165,-1.1976875831161566,-2.8914373535863627,2.48109679860434,-0.43972639466240676,0.9972475442196742,-1.3264490819460368,-1.530453160761124,1.3345897666811202,1.9513953503384813,1.3378840030602372,-2.277220984148151,2.358071671412287,1.3501047719769224,-0.8469615237464642,1.6252122300396852,-4.1074581940373545,-1.7322412421543003
YOR202W,HIS3,his3,tsa1,1,1,1,6,19.060040679277435,-4.915216140339677,1.4577930646291248,0.016002913250644415,3.7594780889456554,-1.6131375914877242,-2.286931588968431,1.5865885215217312,7.353467273284192,-1.024563868021539,0.774030241923028,2.6163599719043833,0.5207210993476361,-2.702599186487389,-1.9066113463023657,-1.5366307717125718,-2.123214411636436,0.542188998890971,2.5384260111775125,1.632126502607703,2.8688006461471236,-0.6986260237903664,0.6605517430103321,1.9188558237735338,-1.2749794890032673,2.7931701728265477,1.4921997571375196,0.012317021190132504,-1.1414302743531637,0.4168491447936089,0.38679241041677676,-0.23663985238556107,-0.7706227003736841,-0.5879354113371524,-1.115061433488192,-0.20640934108731357,0.49578588233389087,0.0020504435108724683,-0.6084706405964126,0.9307301417260059,0.5844998544179059,-1.7339217121994637
YOR202W,HIS3,his3,tsa1,1,1,1,6,15.228145857469864,-5.006589298988188,3.3187224298717304,1.5489708887387228,-0.021058371447923774,-1.1953701618437336,-1.6336493537083738,1.8673252661028807,3.883873643685521,0.4959364120461509,-2.6457701734198893,0.42486013199326067,1.8126465633592148,0.8017529954376684,-1.4886556288046682,-0.7475230799240495,1.412225981659443,2.8672671833680097,-0.5580645837067536,-0.4614289264504443,3.226219915279353,-1.207320704557019,1.1054771498426557,0.3898147300853052,1.0174604226012225,-0.6569540955173744,0.6714638891657864,1.2907004104481956,-1.4284690878045279,1.3325003943789928,0.7876480327500138,-0.6260680439914957,-0.15177745370058915,0.02868937408095329,-1.1583306422950157,-1.9895359981912226,1.5288787922123845,-0.32262646362794345,0.8335422948860807,1.4903451922786166,0.12798528040210672,-1.7327190631608325
YOR202W,HIS3,his3,tsa1,1,1,1,6,14.52926984814844,0.11152253760564318,-0.03209539711611609,3.7960892800178225,1.32816745230823,-2.629391508809859,-1.7482894670980749,0.0017476700538638923,5.67088035776707,-4.011412764192127,1.8385678605164977,1.0031202814502875,-2.8566895186626513,0.23298709074683674,-3.3902796324477755,0.39463530786348094,-3.111369298379303,2.3519192684773493,3.205960546968391,1.4394996824435928,1.0486027107997842,0.039219885410629374,-2.0830006196964415,3.044919829914768,-0.1777966167770736,0.8912623191265683,-0.5913904748888178,0.8539104707950131,0.02882912123841197,-1.7054912125778612,2.8317906808306796,0.3212551635490396,-1.8926037860095852,0.4459998079720363,1.4361598959463602,-0.1769257770038556,-2.077427147964273,0.10982671319032569,2.5495337731469965,0.5298286677489852,2.1550681390196833,-1.7333808772325774
