ORF,ImageNumber,ObjectNumber,filename,Plate,well_number,series_number,gene_name,row_id,score,is_inlier
QUERY,1,2,20181002_135035_623plate1WellA01BlueChannel(series1).tif,1,A01,1,,1,-0.0003038591638744037,True
,1546,68,20181015_135757_230plate10WellF11BlueChannel(series1).tif,10,F11,1,,1546,0.12076894590906782,False
,2005,47,20181015_135757_230plate10WellL20BlueChannel(series1).tif,10,L20,1,,2005,0.14958949634401592,False
,657,24,20181002_135035_623plate1WellJ03BlueChannel(series3).tif,1,J03,3,,657,0.11862907278391807,False
,555,131,20181002_135035_623plate1WellH17BlueChannel(series3).tif,1,H17,3,,555,0.0022031469923635694,False
YNR058W,1732,129,20181015_135757_230plate10WellI01BlueChannel(series1).tif,10,I01,1,BIO3,1732,0.018396924322782948,False
YAL054C,1882,123,20181015_135757_230plate10WellK03BlueChannel(series1).tif,10,K03,1,ACS1,1882,0.12287147546384873,False
YML089C,123,30,20181002_135035_623plate1WellB17BlueChannel(series3).tif,1,B17,3,,123,0.15871659149466613,False
YNR059W,1738,15,20181015_135757_230plate10WellI03BlueChannel(series1).tif,10,I03,1,MNT4,1738,0.049698292251161014,False
YDL236W,1933,59,20181015_135757_230plate10WellK20BlueChannel(series1).tif,10,K20,1,PHO13,1933,0.09651216190868901,False
YMR232W,983,25,20181002_135035_623plate1WellN16BlueChannel(series2).tif,1,N16,2,FUS2,983,-0.02632832248928854,True
YLL063C,191,118,20181002_135035_623plate1WellC16BlueChannel(series2).tif,1,C16,2,AYT1,191,0.05341618415073349,False
BLANK,2175,4,20181015_135757_230plate10WellO04BlueChannel(series3).tif,10,O04,3,,2175,0.19100669068129264,False
YLR124W,110,23,20181002_135035_623plate1WellB13BlueChannel(series2).tif,1,B13,2,,110,0.1825831504112825,False
YAR029W,722,66,20181002_135035_623plate1WellK01BlueChannel(series2).tif,1,K01,2,,722,0.1230206115424517,False
YDL210W,1742,94,20181015_135757_230plate10WellI04BlueChannel(series2).tif,10,I04,2,UGA4,1742,-0.035165286590942646,True
YDL104C,1533,24,20181015_135757_230plate10WellF06BlueChannel(series3).tif,10,F06,3,QRI7,1533,0.10309264681778271,False
YBR271W,1402,45,20181015_135757_230plate10WellD11BlueChannel(series1).tif,10,D11,1,EFM2,1402,0.15469642858921273,False
YJR140C,1352,73,20181015_135757_230plate10WellC18BlueChannel(series2).tif,10,C18,2,HIR3,1352,0.19088407538628874,False
YCR086W,1997,111,20181015_135757_230plate10WellL17BlueChannel(series2).tif,10,L17,2,CSM1,1997,0.10785245474894072,False
YDL201W,1646,12,20181015_135757_230plate10WellG20BlueChannel(series2).tif,10,G20,2,TRM8,1646,-0.02117936905187598,True
YCR045C,1823,64,20181015_135757_230plate10WellJ07BlueChannel(series2).tif,10,J07,2,RRT12,1823,0.055301171080075706,False
YMR042W,112,90,20181002_135035_623plate1WellB14BlueChannel(series1).tif,1,B14,1,ARG80,112,0.1863475786873904,False
YLR077W,755,15,20181002_135035_623plate1WellK12BlueChannel(series2).tif,1,K12,2,FMP25,755,0.07962224529874946,False
YDL110C,1557,48,20181015_135757_230plate10WellF14BlueChannel(series3).tif,10,F14,3,TMA17,1557,0.042827832262458204,False
YLR067C,642,37,20181002_135035_623plate1WellI22BlueChannel(series3).tif,1,I22,3,PET309,642,0.015248408563188931,False
YML008C,711,60,20181002_135035_623plate1WellJ21BlueChannel(series3).tif,1,J21,3,ERG6,711,0.08198925837900882,False
YLR122C,97,15,20181002_135035_623plate1WellB09BlueChannel(series1).tif,1,B09,1,,97,0.057551081368190926,False
YMR238W,1008,7,20181002_135035_623plate1WellN24BlueChannel(series3).tif,1,N24,3,DFG5,1008,0.0975261767744871,False
YMR238W,1007,26,20181002_135035_623plate1WellN24BlueChannel(series2).tif,1,N24,2,DFG5,1007,0.0020695329883219926,False
YDL156W,1970,15,20181015_135757_230plate10WellL08BlueChannel(series2).tif,10,L08,2,CMR1,1970,0.1785573908491038,False
YLR461W,1480,64,20181015_135757_230plate10WellE13BlueChannel(series1).tif,10,E13,1,PAU4,1480,0.17480138385396318,False
YMR141C,130,77,20181002_135035_623plate1WellB20BlueChannel(series1).tif,1,B20,1,,130,0.1655480825513029,False
YLR001C,197,19,20181002_135035_623plate1WellC18BlueChannel(series2).tif,1,C18,2,,197,0.14078317999274315,False
YJL021C,2110,13,20181015_135757_230plate10WellN07BlueChannel(series1).tif,10,N07,1,,2110,0.16630987729042065,False
