ORF,ImageNumber,ObjectNumber,filename,Plate,well_number,series_number,gene_name,row_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
QUERY,1,2,20181002_135035_623plate1WellA01BlueChannel(series1).tif,1,A01,1,,1,-7.499190792601233,-2.2273405699018167,-3.434040849068484,0.9876680107367845,-0.09805581798571146,-1.0377386435117268,1.3312315248205266,-1.7283522207391435,0.1252199759729485,1.7330851455535212
,1546,68,20181015_135757_230plate10WellF11BlueChannel(series1).tif,10,F11,1,,1546,2.805199015308684,1.645335467062337,2.9572817058631733,-1.3794252685581616,0.9604723835736968,-2.550630980448543,-2.212471601404498,0.25902642924037134,0.07316163546596989,2.702303221339517
,2005,47,20181015_135757_230plate10WellL20BlueChannel(series1).tif,10,L20,1,,2005,-7.675666890607971,-5.018564744068737,-0.6868512302630819,3.2219139509575094,-0.12493172372451385,-1.3975536345278199,0.0050711911280497575,2.9572783550076354,-1.0987851870538288,0.46974078207842707
,657,24,20181002_135035_623plate1WellJ03BlueChannel(series3).tif,1,J03,3,,657,1.9105180005433522,5.03338518940154,-1.2547307276541932,-1.265842260721235,1.3666916719388489,-1.5752551980418372,-2.181031914620363,0.9583388100458403,-0.030577260370766843,-0.5109404279874414
,555,131,20181002_135035_623plate1WellH17BlueChannel(series3).tif,1,H17,3,,555,5.064687828908139,-0.6544047882172661,-3.166362247951984,-0.7696593014095343,0.42494299651820894,-0.37501494379956424,-0.23638468286599937,-0.5209106698420367,-0.5643934327415114,-0.3308208855646292
YNR058W,1732,129,20181015_135757_230plate10WellI01BlueChannel(series1).tif,10,I01,1,BIO3,1732,-8.021835689467686,-1.9851687290577686,-1.7036237277578767,2.8038731485842474,1.6077090550776758,-2.704420131166207,-0.6255021265209918,2.266360777192066,-1.1193831053692687,0.10558493191501153
YAL054C,1882,123,20181015_135757_230plate10WellK03BlueChannel(series1).tif,10,K03,1,ACS1,1882,-2.4253019953931987,-0.387429364337785,-3.0299889788506427,0.4367209050283234,-3.2551374600165586,1.5169610386620642,0.7875172286417605,-0.4297881252720602,-2.53211626193017,2.508099769180898
YML089C,123,30,20181002_135035_623plate1WellB17BlueChannel(series3).tif,1,B17,3,,123,5.839626771978783,-0.18525682508636057,4.31675461773952,-1.990489632414706,2.175500306677288,-1.8143373995715388,-1.42993900948999,-1.5127661233641632,-2.461635600254365,-1.1036496588764122
YNR059W,1738,15,20181015_135757_230plate10WellI03BlueChannel(series1).tif,10,I03,1,MNT4,1738,-8.737531201768453,1.640485030848227,-0.29134623560178036,2.6794753981230492,2.0021299511225226,-1.450213106712278,-0.72678449642061,1.8530143041688105,-1.5984445894353043,-0.3427187094628931
YDL236W,1933,59,20181015_135757_230plate10WellK20BlueChannel(series1).tif,10,K20,1,PHO13,1933,-3.2041014863634385,-1.2012044141134428,-1.8045266194996707,0.3151993385191107,-3.0515150563815894,-0.13721293932797518,0.2738309289284805,0.14377160276234402,-0.6861686447103922,2.5368939229280483
