,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Perimeter,AreaShape_Solidity,Granularity_1_Mito,Granularity_10_Mito,Granularity_2_Mito,Granularity_3_Mito,Granularity_4_Mito,Granularity_5_Mito,Granularity_6_Mito,Granularity_7_Mito,Granularity_8_Mito,Granularity_9_Mito,Intensity_IntegratedIntensity_Mito,Intensity_IntegratedIntensityEdge_Mito,Intensity_LowerQuartileIntensity_Mito,Intensity_MADIntensity_Mito,Intensity_MassDisplacement_Mito,Intensity_MaxIntensity_Mito,Intensity_MaxIntensityEdge_Mito,Intensity_MeanIntensity_Mito,Intensity_MeanIntensityEdge_Mito,Intensity_MedianIntensity_Mito,Intensity_MinIntensity_Mito,Intensity_MinIntensityEdge_Mito,Intensity_StdIntensity_Mito,Intensity_StdIntensityEdge_Mito,Intensity_UpperQuartileIntensity_Mito,RadialDistribution_FracAtD_Mito_1of6,RadialDistribution_FracAtD_Mito_2of6,RadialDistribution_FracAtD_Mito_3of6,RadialDistribution_FracAtD_Mito_4of6,RadialDistribution_FracAtD_Mito_5of6,RadialDistribution_FracAtD_Mito_6of6,RadialDistribution_MeanFrac_Mito_1of6,RadialDistribution_MeanFrac_Mito_2of6,RadialDistribution_MeanFrac_Mito_3of6,RadialDistribution_MeanFrac_Mito_4of6,RadialDistribution_MeanFrac_Mito_5of6,RadialDistribution_MeanFrac_Mito_6of6,RadialDistribution_RadialCV_Mito_1of6,RadialDistribution_RadialCV_Mito_2of6,RadialDistribution_RadialCV_Mito_3of6,RadialDistribution_RadialCV_Mito_4of6,RadialDistribution_RadialCV_Mito_5of6,RadialDistribution_RadialCV_Mito_6of6,Texture_AngularSecondMoment_Mito_4_00,Texture_AngularSecondMoment_Mito_4_01,Texture_AngularSecondMoment_Mito_4_02,Texture_AngularSecondMoment_Mito_4_03,Texture_Contrast_Mito_4_00,Texture_Contrast_Mito_4_01,Texture_Contrast_Mito_4_02,Texture_Contrast_Mito_4_03,Texture_Correlation_Mito_4_00,Texture_Correlation_Mito_4_01,Texture_Correlation_Mito_4_02,Texture_Correlation_Mito_4_03,Texture_DifferenceEntropy_Mito_4_00,Texture_DifferenceEntropy_Mito_4_01,Texture_DifferenceEntropy_Mito_4_02,Texture_DifferenceEntropy_Mito_4_03,Texture_DifferenceVariance_Mito_4_00,Texture_DifferenceVariance_Mito_4_01,Texture_DifferenceVariance_Mito_4_02,Texture_DifferenceVariance_Mito_4_03,Texture_Entropy_Mito_4_00,Texture_Entropy_Mito_4_01,Texture_Entropy_Mito_4_02,Texture_Entropy_Mito_4_03,Texture_InfoMeas1_Mito_4_00,Texture_InfoMeas1_Mito_4_01,Texture_InfoMeas1_Mito_4_02,Texture_InfoMeas1_Mito_4_03,Texture_InfoMeas2_Mito_4_00,Texture_InfoMeas2_Mito_4_01,Texture_InfoMeas2_Mito_4_02,Texture_InfoMeas2_Mito_4_03,Texture_InverseDifferenceMoment_Mito_4_00,Texture_InverseDifferenceMoment_Mito_4_01,Texture_InverseDifferenceMoment_Mito_4_02,Texture_InverseDifferenceMoment_Mito_4_03,Texture_SumAverage_Mito_4_00,Texture_SumAverage_Mito_4_01,Texture_SumAverage_Mito_4_02,Texture_SumAverage_Mito_4_03,Texture_SumEntropy_Mito_4_00,Texture_SumEntropy_Mito_4_01,Texture_SumEntropy_Mito_4_02,Texture_SumEntropy_Mito_4_03,Texture_SumVariance_Mito_4_00,Texture_SumVariance_Mito_4_01,Texture_SumVariance_Mito_4_02,Texture_SumVariance_Mito_4_03,Texture_Variance_Mito_4_00,Texture_Variance_Mito_4_01,Texture_Variance_Mito_4_02,Texture_Variance_Mito_4_03
PC1,-0.16625614405273434,-0.08628928805758262,-0.031213113078333726,0.14143223315346454,0.16990934719023193,-0.14045849890168854,-0.1499864196228288,-0.11225642620388054,-0.11411056657226835,-0.1147573788181556,-0.1311924533423382,-0.1315772273845476,-0.1574830947046598,0.12150122715543987,-0.713202139897763,-0.00817624078610787,0.6201021781780519,0.4784208775778079,0.31692736209456396,0.17965336419306235,0.11784553724691793,0.03102563452318112,-0.009482444804920075,-0.017625681002383316,0.20913322530697534,0.01702526353266508,0.299181851268903,0.369422880283683,0.4808005078908612,0.7741946154811358,0.2839927278096696,0.7172839456590813,0.23200035647699338,0.34419167770341186,0.20859272970320145,0.1887301747718082,0.8062350284195601,0.26067697759217734,0.5543651112409714,0.165234680915637,0.23454653729886873,0.3358270609406979,0.3732234155798286,-0.06237325328523875,-0.5761866530617115,0.14785916694892326,0.2148827521273497,0.3163587031192956,0.35765011181680095,-0.05732195005933127,-0.5682339120797344,0.36016818312045173,0.5258205552614058,0.6678569572075552,0.716507331627939,0.6438074949421767,0.36916896315647696,-0.7830522051384106,-0.7888112112869421,-0.7820872273729159,-0.7900263824282596,0.7484943132655343,0.7393334103928391,0.7423354932388246,0.7387704664548543,-0.04683385458016861,-0.2099321065622021,-0.026612547243784944,-0.20872737756384402,0.8070777626934961,0.812520958756374,0.8028726039089141,0.8140165651154326,-0.7841628252614589,-0.7867893466571798,-0.7824195646322546,-0.7884134705592769,0.8171003150607603,0.8210393111189401,0.8161209681002674,0.821428688845684,-0.5111843917706921,-0.4083488005600902,-0.5324956646239721,-0.40918105344062067,0.7343609494554396,0.670182975675419,0.7467396636894852,0.6673538117527674,-0.6407913791169215,-0.682661020701065,-0.6344357619359698,-0.6845753057488847,0.7654098495173879,0.7690222918424126,0.7654207243334156,0.7693174251855217,0.8218027650232193,0.8256631064495804,0.8216101836533641,0.8252899839740002,0.6893710384848002,0.685803171889039,0.6856714808072801,0.6771863021713787,0.7232015065512726,0.7235069564429968,0.7228766269039592,0.7234628077965931
PC2,0.9336214496685101,-0.22914391136848947,-0.09850898764821593,0.18557854758897524,0.0727328810834999,0.9072402664303456,0.8993839569561907,0.9633572173091041,0.9673054598694524,0.9655187771636522,0.9550797668881255,0.9554565062814308,0.9163068604684407,0.35166104685314564,0.07928273542590374,-0.004748734470001478,-0.1191517664000632,-0.015870766952051345,-0.023148397847516457,0.007642768237063263,0.019131828851041283,0.016650140856191254,0.018671091782836078,0.027075445167804805,0.8866739024067539,0.6840866026449924,-0.2941760434602527,-0.36002006108564916,0.1471451633231817,0.0951437484953934,-0.3882505949556289,-0.1827761778813533,-0.5085292930218248,-0.3612327935728123,-0.34767626593986833,-0.32751940079313063,-0.03926184839596324,-0.47124850708793925,-0.28722290121277677,-0.05400643114260677,-0.06128614780428697,0.021622725555857217,0.23074525344152533,0.09582105213497903,-0.1987787205004862,-0.09610116444590568,-0.09316733840378888,0.0057288034070881195,0.2762356464987358,0.19546304447535454,-0.2779448399928822,-0.006524248988830163,-0.007096552405330731,0.0033193266389655402,0.003038519811737642,-0.07471814120988769,-0.42205880986327154,0.08805068740344432,0.07634196171484346,0.08882160477177845,0.0767889777256514,-0.035843815624526806,-0.017268961462962185,-0.04007375236444456,-0.02368678171547289,0.010210584344416988,0.002967638196110206,0.011533535994993448,0.001973668388665939,-0.03407417450546552,-0.021476796564311878,-0.03489105130133776,-0.021820056756389053,0.04508340281697356,0.03776265905555424,0.044116988675141314,0.03832378001115207,-0.03681474125643441,-0.02725172448144661,-0.037481624767795214,-0.02748224054062971,-0.09407692237299181,-0.036341165141037204,-0.09681502582701591,-0.044189236449762914,0.05511759780300941,0.015150777750085099,0.05450097415638154,0.021772627752291482,0.14980017963624598,0.13296666459854822,0.1505135488228522,0.13466641590192133,-0.0017407049908189504,0.003066856173268463,-0.002245373625931473,0.003973624406150722,-0.029086449813783784,-0.018332969344736074,-0.03010912421303269,-0.018830183016245505,0.030738654619198887,0.037100001657132266,0.03090458784356862,0.03979843022418604,0.014313290433775964,0.01873999710942038,0.014098227501297071,0.019229117201578893
PC3,0.11144029356001031,0.23254764996381297,0.2599999248810592,-0.16597191177811535,-0.21618569602556556,0.13811608524219937,0.14051916229452813,0.02063026997089514,0.04134524951443217,0.047298058551581486,0.04699877954449049,0.04028078954493596,0.11952147880417602,-0.17445878729157333,0.15381443163242026,0.01543327320462239,-0.018078889660025656,-0.18005693987420873,-0.192446738410058,-0.12859563144890987,-0.07263694447887836,-0.02197210596319824,-0.003410896238870913,0.018916463859798623,0.07534113412858708,0.4024926662168289,0.07089843308631856,0.030084769406356304,0.26588946176743594,-0.014223498729240709,0.39395282170986307,-0.025674555430398437,0.41447054712048687,0.048308720346218005,0.08957231286871324,0.1350389158560195,-0.035231918749263055,0.41140924000149076,-0.02691629197153438,-0.6163307385230191,-0.7718132499348208,-0.7657572319259118,-0.1580718554350962,0.6963780662278283,0.5878058448727997,-0.5716136260040264,-0.730954836005671,-0.7332718783867133,-0.1382081537554687,0.6624236856087412,0.5672718744729052,-0.45310109767667855,-0.4321188149381541,-0.2600921298613219,-0.045941832723755384,0.1612220669437023,0.3800855237667311,0.12084491531483986,0.1275880298438282,0.12297027585196113,0.12784016544899435,-0.017550177438137617,-0.016287139471666903,-0.028680700774044235,-0.015844424165576645,0.0286641335929289,0.04301196909831939,0.03566974432103057,0.03902412759355777,-0.08723100039113221,-0.09126324026722404,-0.09192887478010958,-0.09030899558125874,0.1015178175794766,0.10872069062168739,0.10477008191891268,0.10763847532593493,-0.0894708928648358,-0.09683991949040849,-0.09137971023574457,-0.09713136582276825,-0.026710801125196054,-0.07833528387605289,-0.043320321227537074,-0.0549162604667264,-0.03418157518446032,0.002021239236511124,-0.028409439278768905,-0.013422622876329645,0.09393741361827934,0.10583460035090687,0.09984791519739086,0.1035344790008752,-0.045605749067812146,-0.05595063671874204,-0.045401844134087724,-0.05714350245065012,-0.09146058591316367,-0.09667474580611915,-0.09219068896468603,-0.0966454303959293,0.022293980011447077,0.01733131792104979,0.026018764709642685,0.017110143129374766,0.012569458399078073,0.00582620042187806,0.013140687134149526,0.006302301245173993
PC4,-0.03159927198594365,0.11764800641005707,0.08503874855655574,-0.1529800227664757,-0.12234010776838804,-0.02287104958518064,-0.01681139016033979,-0.07632462849339816,-0.06984899768742629,-0.06883830297558043,-0.059842424151193264,-0.060110958134138706,-0.02245011804915776,-0.13486826806693253,0.06198652037410257,0.034456606341695686,-0.09680870965375184,-0.004686048231150405,-0.021310076981495445,0.0035002341144271276,-0.04092788824577687,-0.009040412443998433,-0.0023331214236909786,-0.007391758033313882,-0.06610589907986013,-0.0028983211462017258,-0.03185855145200048,-0.15388523129635315,0.015371701489378083,0.016820050569504745,0.04213408202977842,-0.061458409692805416,0.04984396104606338,-0.11369703483895342,0.08249545467316524,0.08694312703507236,0.010933073230743103,0.05431447319809423,-0.13576759553453208,0.1488987653128036,0.1670442803962659,0.07232958683913863,-0.17660900333173407,-0.23771779789581254,0.13934940960199269,0.18778527878881807,0.2021312740509559,0.09923513738661416,-0.17051171215148084,-0.25118044770136383,0.1260853537364637,0.00938927839513198,-0.015247792704960286,-0.015888976293656033,-0.009088236507694704,-0.05949975799499352,0.009728525419524498,0.3088694624263283,0.30026397258289544,0.30881796479918505,0.29953580773836785,0.059963056376169666,0.1258295790357457,0.035016883452141434,0.09188759943967816,0.5175223724947363,0.531528452215829,0.513855236853924,0.5285054159098195,-0.18445847473715674,-0.16852669235987508,-0.18687333351280094,-0.16920955501208715,0.3329276822770934,0.3308689873984564,0.3323698356904174,0.3292369311308214,-0.1433950212017984,-0.13395941354404206,-0.1442286592072294,-0.13406958771626745,-0.14522956625079342,-0.18845207733016203,-0.14033736358590182,-0.18995729895735744,0.02622191442384511,0.0922193146530551,0.017255605927842366,0.08430302128335525,0.3984267070880432,0.3642720570371079,0.4012284387152227,0.36289733684343256,0.12568618087787628,0.12443986520000541,0.12640537860791606,0.1255736027274101,-0.1474840953913244,-0.13696231427452793,-0.1482936545387815,-0.13764114366806113,0.31978627946796545,0.324360464491667,0.32389267690521656,0.3360865523821261,0.26105631284464886,0.2624504471088013,0.2621267005321608,0.26369547485530354
PC5,-0.11728921081093462,0.03229610626362218,0.013488765284522078,-0.02468661123386402,0.0008729045922148376,-0.11769700762960607,-0.11724582013153356,-0.1075130735034558,-0.11113413724572986,-0.1124643165600106,-0.11611143791717811,-0.11571513576958249,-0.12171179168689455,-0.01807477423843977,0.298988124400789,-0.07085769664883775,-0.07359734398910316,-0.22367648068798457,-0.32263926797523984,-0.27061321684404027,-0.25151888120245985,-0.17532516675557708,-0.09615240598063732,-0.09063966382138,-0.1812133095453234,-0.29097747704259536,-0.5304569722691468,-0.4671697480409509,0.12748815030084243,0.03347026979195305,-0.1761151026180539,-0.2339888409272733,-0.2572306545183332,-0.5127380678669545,-0.38971906974517767,-0.35836490460789855,-0.02155892504046016,-0.18442680284321725,-0.36004254369344174,-0.1296256111052347,-0.15424547178783451,-0.1204606022110308,0.03510246888314862,0.12073440896022085,0.06912843246744037,-0.13444750317061596,-0.15989758921455946,-0.12388163877540354,0.027451165433414665,0.11000154195825904,0.08352677869245319,-0.1782174259739351,-0.1285341494544812,-0.00012052829212070266,0.09485159883397308,0.06203768673704012,-0.0962854820286553,-0.13269318450791384,-0.13323776125759199,-0.13443788652925193,-0.13127254819332598,0.12275525401699544,0.15606175212478302,0.12370620910105387,0.13919414291392182,0.17823428429831342,0.1573510855940824,0.17434110863082905,0.1665837360319795,0.034928327087290156,0.04671881621139246,0.03765756627613817,0.04248281864481585,-0.10020082321809348,-0.09805526123595021,-0.10291791031079947,-0.09625217926357947,0.03469063107215199,0.03980354639414641,0.03576151228993496,0.0380942415115676,0.001910363800733362,-0.0017931673084922838,0.00949070843640143,-0.020393183774840833,0.022193354083332822,0.029244757616222528,0.013202305289713867,0.040759680692626366,-0.3554715661801913,-0.328953142693126,-0.3612786308871475,-0.3249621495632675,-0.08784005881309741,-0.08066228214382136,-0.08739332831432912,-0.08163756294046355,0.029857373317262292,0.0343561608482674,0.02991471932149091,0.0332542281189954,0.18108283329179578,0.17759146891438196,0.17958729246656807,0.18270306182412954,0.17083354104573384,0.17474732552249986,0.17155494029764862,0.17432191868605312
PC6,0.19227190236902017,0.5353882196488658,0.4376231679261259,-0.46169366196051964,-0.6115065255155507,0.2648043100627955,0.2845618239770418,0.03366473568930197,0.060294150527025636,0.06737380753315259,0.10021926098785965,0.08284762654168093,0.2587144626438851,-0.5025452285266743,0.053094528501578635,0.07751285100903652,-0.1404120345222743,0.006933806961940033,0.05293297855663431,0.052396087261260216,0.016724936395434414,0.01809377622021246,0.04333725835449684,0.05010058583436055,0.15653874126449294,0.3888949367162927,0.03375968971304136,-0.06709639094623882,-0.07359870831403767,-0.02363112859434939,0.2765083699617635,-0.06635159885737796,0.18375431507792656,-0.0320234818845381,0.10487098951308313,0.12441756280165406,-0.05915121240486947,0.24615902532039752,-0.08037467835470292,0.19991030345301602,0.20509717803493474,0.022696935410409447,-0.3772387583179366,-0.2884269931321177,0.3125279843999347,0.3320421104356444,0.34302776900003334,0.14580071571481465,-0.3155011417836054,-0.3269264650356044,0.18557127931170014,0.19295395096572077,0.1018607968357384,-0.019119768474492975,-0.1109131823684033,-0.14269534314688587,0.09470999911893126,-0.023389004168473823,-0.019689455029868432,-0.022652661733431678,-0.019420591925390984,-0.08483126758734467,-0.08029173369912623,-0.09183207021542744,-0.08718232603733636,-0.0474971362376414,-0.04170509595981162,-0.045030789737787784,-0.04016125548525227,-0.0720616776104517,-0.0693245272349962,-0.07482742416862814,-0.07046472012135256,-0.03778363942266593,-0.03443673951469688,-0.03635436922381848,-0.03383932057668073,-0.07023968467443056,-0.06891422653559275,-0.07093357109509804,-0.06938406352406587,-0.11586313923572414,-0.12266748293190917,-0.11773989616900131,-0.12339695985617447,0.035013706655231035,0.05475040380607803,0.03620092258760084,0.053721769518034215,-0.17289574879965006,-0.13641705473370172,-0.1715687720011335,-0.13659702820109654,-0.1964266845432022,-0.19546897830295168,-0.19617228733249065,-0.19573610866317567,-0.06279313583726386,-0.061143192499395226,-0.0630082490579032,-0.060848189513323526,-0.03870900994982422,-0.03589515231514165,-0.03573027805167674,-0.03255658326526733,-0.05169828487604293,-0.05268606254262668,-0.05102871497944133,-0.05271200909446086
PC7,0.05755460809853723,-0.060401706907886814,-0.04744223839838243,0.06484202754716789,0.0642080615849737,0.033170791040786886,0.0312269473186678,0.060408424567180895,0.057478575319838646,0.05800364469744975,0.05139655342374786,0.05287736659324683,0.03433834859101428,0.08144206033616722,0.08049032817253746,0.013891888707453885,-0.06070312499995045,-0.12006832905826184,-0.022002040752131403,0.06532649193433478,0.08738004169844604,0.09936789892531389,0.05548510941770689,0.048151910325395626,0.07880916385564911,0.026738381685009093,0.14668354233599,0.21186884322246385,-0.30633003718810653,-0.016711143041661606,-0.03525021016626359,0.07051689688001539,-0.009498307003609027,0.20501813980816347,0.017248111983290338,-0.007226541579984037,-0.012907680911419108,-0.037218522581699505,0.13084975699490187,0.14704312186898677,0.10728153989926856,-0.08668536432232794,-0.1345566795527889,0.07252591091243735,-0.007276377997809379,0.13787746687302943,0.09274400800273896,-0.10275303806984981,-0.14040438100187055,0.07936120616427558,0.0044481594349114065,0.055206893625562664,-0.040854712505196206,-0.20526508949174443,-0.2772990468077513,-0.1631106005514832,-0.05887322920584449,0.0941198276578848,0.1007740744536617,0.0884404311385468,0.10419546553607774,0.1071756179157074,0.14031289816307185,0.0975564569145306,0.09273460010255971,-0.29143784629918285,-0.2524022156210205,-0.3279533518073916,-0.23361577056228516,-0.08059507923674213,-0.08680873775639171,-0.07048173636286216,-0.09653102361590146,0.07510186355419667,0.08714011989645255,0.06478099711513491,0.09187147230248445,-0.10657029153819567,-0.11154617272264665,-0.1033110201931076,-0.11386164211163896,0.3715119113112644,0.4103070110771688,0.4317700731042962,0.34394092497101514,-0.3025942079968206,-0.34823217337666335,-0.3375980941356477,-0.3178539329455879,-0.06385291778258148,-0.0439126573641663,-0.07544750580586508,-0.035169974294549426,-0.07994383739913816,-0.08165935780465443,-0.07903573468759371,-0.08006925135728253,-0.1283235945793965,-0.13355922434396017,-0.12721791605517233,-0.13415894013528873,0.16691751879839406,0.15673469836614762,0.16879446068782097,0.1807016326985949,0.15592139782781297,0.1551434534550269,0.15654052000930077,0.15681745463068616
PC8,0.034961435893369225,-0.017815980894360404,-0.0006636246824781734,0.019621119515597977,0.004899385754722604,0.011358756663821733,0.012009647884901487,0.025676539718194245,0.022919875348790753,0.02168248850402946,0.022862934303987708,0.0205426288031053,0.013884776770539783,0.00804697022396152,-0.16171165239168647,0.062020825396825456,0.024774878266969978,0.14397796542337477,0.1863652812875959,0.1609750101393548,0.134201069423287,0.09158459653515828,0.03413537749862795,0.026424103651934223,0.1323279914976748,-0.010730236751513201,0.33147860178214994,0.3344266873497566,-0.11347637262876617,-0.025317642300404855,-0.15675126646640417,0.1833735769282222,-0.036340009695254555,0.35934614624844313,0.19977280906856615,0.1763439182462375,0.04225786382561397,-0.1410995711945828,0.2702932872554194,-0.11146419063790662,-0.09836095603131216,0.030114469250178348,0.22663058916591497,0.09153014993314292,-0.16443463467600739,-0.11986789113155925,-0.10902946169610067,0.026286309221689994,0.22525974982567867,0.0896076039065763,-0.16991735990152423,-0.09193403257947275,-0.1159597050919006,-0.12748387044121193,-0.15398337584427832,-0.13740880067486372,-0.15962123254101496,-0.06646834560217768,-0.061259581545852565,-0.0677982055119935,-0.06329155146799209,0.037950030110863675,0.03840508576285995,0.03536829076441537,0.044492246552973104,0.5542571562930837,0.5507332998683147,0.5491577071364081,0.5424878221418156,-0.05407686722319103,-0.04825014738491546,-0.0527387007945434,-0.04491163367777042,0.04466938043029872,0.050233318705698714,0.041730148192072714,0.04777585975553426,0.006975679800600468,0.010550376505410741,0.0070892612236976744,0.011814312436826192,-0.02874407142724601,-0.022309434913619905,-0.012680329058242271,0.0001541765417594039,0.04073949979733842,0.03010779102681711,0.0317181521617285,0.015456748420827737,-0.2264348841953408,-0.20126583447955376,-0.2293558160422771,-0.2062396673032269,-0.03930794219767223,-0.037378153727696185,-0.039691802297437274,-0.03647909427554589,-0.0032614764068148827,-0.0008412782622931243,-0.003212402051337525,-0.0003914324193165561,0.06844203108984645,0.07114098804635759,0.06737032798472897,0.06727770933592234,0.0623798063143076,0.061412370996049494,0.061582326294264966,0.061844012704670034
PC9,-0.027509993918188914,0.3844344604085553,0.30413935450504476,-0.4210928839731786,-0.47426896866879525,0.051431605872542786,0.07077642651724596,-0.11018873717786806,-0.09393350895626902,-0.08960416193265029,-0.05984019950733029,-0.07297767138848384,0.05531005609246058,-0.444593292276562,-0.003282699740126033,0.12762900682877631,0.0738117705597202,-0.08646640811303212,-0.11742425162019934,-0.04210253340163531,-0.012440535124370404,0.06830171854666266,0.07897015686702573,0.1050065234669361,-0.009920995499805442,-0.08601211396918539,0.13709295791426837,-0.022344088110137276,-0.08563902346019103,0.02721269315887692,-0.15854928785311442,-0.0073582139741336875,-0.17096613404532032,0.027956007823037914,0.17238989077024447,0.15681207257314952,-0.001118278105436547,-0.19575139521560717,-0.05193450194170297,-0.42773073415666446,-0.3187085560798044,0.14406249437457708,0.5342544015415944,-0.02816691320868819,-0.1493202475448688,-0.3431807166732255,-0.22709724122803254,0.23365931278061128,0.5760512363476846,-0.06341661557510939,-0.2542645857154114,-0.21044164987815392,-0.060912729235925944,0.12070338569152632,0.07497122419720792,-0.10513936295558646,-0.2302257075689832,0.050404191611220506,0.03994886046081631,0.0512191141690278,0.04533300139348176,-0.008508612561856884,0.010014669810670514,-0.015280558787662046,-0.010132276522299935,-0.2023113751026482,-0.214461467134829,-0.1979137283035594,-0.1920321159341394,0.002702784493923709,0.011316729744082906,0.0007166816073943951,0.002232442057987234,-0.007082094810679071,-0.014268238455781864,-0.0060657398545978704,-0.007748516598330001,-0.028328023767468923,-0.022460291553221642,-0.028658821597966816,-0.0255089988775566,0.03031093366476344,0.07259261104125984,0.01919911680541666,0.03821477844930267,-0.031135402452134864,-0.06101919980939608,-0.024113512171816634,-0.03378474156844635,0.08161626707083111,0.06486767389945117,0.08359185892503448,0.07809152344355325,-0.022432993801114434,-0.016423192161147945,-0.022311106856057215,-0.018269100093588883,-0.0250262828892179,-0.019112592327031937,-0.024730582930311724,-0.01981794823232042,-0.0009603646272421447,-0.001348318079245811,0.0012075213160677065,0.007003454824699658,-0.002941825406401959,0.0026629292380748286,-0.0028965277202225113,0.0013139556112403067
PC10,-0.007297780041318976,-0.18795891697183828,-0.19652684527861042,0.09990369232981847,0.10516411236445937,-0.04903200800696471,-0.04450783407446037,0.03274168398459056,0.0217743839141155,0.018499628295651868,0.02732093775688586,0.03492997564969514,-0.02361589355215569,0.0888349167050224,0.1321415662609658,-0.2291462157477432,-0.1677755706170618,-0.052978574774547066,0.013804651669615656,0.020270383856029268,0.08235047781724618,-0.010542085474530866,-0.07993972474674674,-0.03835649132099494,-0.11051075321760588,-0.1236255803264736,-0.033360841065889074,-0.17030830704770822,-0.05442803095349249,-0.18889311549927085,-0.21770823562389158,-0.22942185282035504,-0.13003386585384755,-0.12677872918105088,0.0766349747580137,0.09213919203288289,-0.21292863348529567,-0.18890685657298875,-0.24662539021755256,-0.01807904799444261,0.02151055078909658,0.116854117577965,0.09493273391844392,-0.17676141241287233,-0.0004973242757528866,-0.04460958957410096,-0.0097243055194062,0.09060759562828843,0.08144993415871946,-0.1628376751825554,0.03475029924881821,-0.17499751899836796,-0.151709235420967,-0.08294009383246764,-0.05024718074127154,-0.1675947142112331,-0.22803259750653102,0.24209599201672957,0.24619477486029925,0.2551839211981768,0.24435610682060563,-0.25615163227926474,-0.23675223277357332,-0.30574668859065013,-0.2547410967812556,-0.28180670838842525,-0.19553865746824414,-0.21354169848361707,-0.2090283755501399,-0.27651512738604017,-0.28260045775753956,-0.3064653258848574,-0.279467384196761,0.16846806540535372,0.1755940853574085,0.18978733508137943,0.1721552977002518,-0.29847782130158396,-0.296517209980647,-0.3079905239468633,-0.29583934061079725,-0.0840446800709184,-0.2176436610199719,-0.22677074699893934,-0.19272286091343854,-0.10950786316674178,0.011188656326262635,-0.025294252300013163,-0.0069668779871706376,0.11288878277311702,0.1623529841993584,0.1424084408792696,0.15753434277118758,-0.36024500124813363,-0.3572678315350992,-0.36096344551818504,-0.35695314927249716,-0.28275422011456436,-0.2751390832441852,-0.28579912171593985,-0.2758350727252168,-0.09582623776579609,-0.07871553219982955,-0.08036493171240977,-0.07015084574259274,-0.13993815546218516,-0.13715243121703907,-0.13970875797487758,-0.13679368978514525
