ORF,ImageNumber,ObjectNumber,filename,plate_number,well_number,series_number,gene_name,row_id,Num_cells,Num_wells,Penetrance,P-value
YLR422W,1162,1,20181015_135651_850plate10WellA03BlueChannel(series1).tif,10,A03,1,DCK1,1162,1,1,100.0,0.0
YLL060C,173,31,20181002_135035_623plate1WellC10BlueChannel(series2).tif,1,C10,2,GTT2,173,24,1,100.0,0.0
YLR068W,647,8,20181002_135035_623plate1WellI24BlueChannel(series2).tif,1,I24,2,FYV7,647,3,1,100.0,0.0
YJR100C,1160,63,20181015_135403_051plate10WellA02BlueChannel(series2).tif,10,A02,2,AIM25,1160,5,1,100.0,0.0
YLL046C,42,27,20181002_135035_623plate1WellA14BlueChannel(series3).tif,1,A14,3,RNP1,42,16,1,100.0,0.0
YDL138W,1849,45,20181015_135757_230plate10WellJ16BlueChannel(series1).tif,10,J16,1,RGT2,1849,17,1,100.0,0.0
YCR028C,1714,13,20181015_135757_230plate10WellH19BlueChannel(series1).tif,10,H19,1,FEN2,1714,11,1,100.0,0.0
YLR431C,1206,30,20181015_135757_230plate10WellA17BlueChannel(series3).tif,10,A17,3,ATG23,1206,4,1,100.0,0.0
YLR003C,202,3,20181002_135035_623plate1WellC20BlueChannel(series1).tif,1,C20,1,CMS1,202,13,1,100.0,0.0
YMR021C,999,26,20181002_135035_623plate1WellN21BlueChannel(series3).tif,1,N21,3,MAC1,999,4,1,100.0,0.0
YML005W,799,3,20181002_135035_623plate1WellL03BlueChannel(series1).tif,1,L03,1,TRM12,799,5,1,100.0,0.0
YLR012C,293,37,20181002_135035_623plate1WellE02BlueChannel(series2).tif,1,E02,2,,293,15,1,100.0,0.0
YLR065C,636,17,20181002_135035_623plate1WellI20BlueChannel(series3).tif,1,I20,3,SND2,636,7,1,100.0,0.0
YMR198W,708,14,20181002_135035_623plate1WellJ20BlueChannel(series3).tif,1,J20,3,CIK1,708,16,1,100.0,0.0
YLL045C,36,4,20181002_135035_623plate1WellA12BlueChannel(series3).tif,1,A12,3,RPL8B,36,6,1,100.0,0.0
YDR042C,1294,29,20181015_135757_230plate10WellB23BlueChannel(series1).tif,10,B23,1,,1294,11,1,100.0,0.0
YMR153W,256,26,20181002_135035_623plate1WellD14BlueChannel(series1).tif,1,D14,1,NUP53,256,18,1,100.0,0.0
YLR444C,1338,34,20181015_135757_230plate10WellC13BlueChannel(series3).tif,10,C13,3,,1338,18,1,100.0,0.0
YDL107W,1545,10,20181015_135757_230plate10WellF10BlueChannel(series3).tif,10,F10,3,MSS2,1545,16,1,100.0,0.0
YAL062W,33,21,20181002_135035_623plate1WellA11BlueChannel(series3).tif,1,A11,3,GDH3,33,7,1,100.0,0.0
YML019W,649,12,20181002_135035_623plate1WellJ01BlueChannel(series1).tif,1,J01,1,OST6,649,7,1,100.0,0.0
YJR035W,1255,21,20181015_135757_230plate10WellB10BlueChannel(series1).tif,10,B10,1,RAD26,1255,5,1,100.0,0.0
YLR090W,887,12,20181002_135035_623plate1WellM08BlueChannel(series2).tif,1,M08,2,XDJ1,887,4,1,100.0,0.0
