ORF,ImageNumber,ObjectNumber,filename,Plate,well_number,series_number,gene_name,row_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
QUERY,1,2,20181002_135035_623plate1WellA01BlueChannel(series1).tif,1,A01,1,,1,-5.581498416978585,0.8750739873687173,-0.6320106719416851,-3.1431858278869096,1.9273803710169295,0.7453292424318465,-1.2699036315197685,1.1292475467630352,-0.5119543303352478,2.022961644645992
,1546,68,20181015_135757_230plate10WellF11BlueChannel(series1).tif,10,F11,1,,1546,-1.1208925502189468,-1.960350292210556,-0.24326168776902563,2.1312079052786466,-2.1727126870518405,-1.4782290186749703,-2.772781791111136,0.6302081377618847,2.0978183294373545,0.5830179063549836
,2005,47,20181015_135757_230plate10WellL20BlueChannel(series1).tif,10,L20,1,,2005,-9.622306836059634,4.2294858459676075,5.212629636697581,2.3390802695701702,-0.7031422950440532,-2.3177625745913333,0.633922224880124,-3.4841596448008465,0.48376725335276166,-2.698802134725017
,657,24,20181002_135035_623plate1WellJ03BlueChannel(series3).tif,1,J03,3,,657,3.469646659311393,-4.029487871207025,1.3584445576973925,0.6237590216843978,1.8406445231256137,-3.9160582514241438,-0.06646559906631917,0.66064985711568,2.5745598330577795,2.3917541501569417
,555,131,20181002_135035_623plate1WellH17BlueChannel(series3).tif,1,H17,3,,555,1.4851204294405296,1.6136794271103283,-2.2174510601526674,-2.963603763169369,1.2081321568362275,0.023727594370691427,0.5942544898261637,0.25923898346271346,-0.6624356737273102,-1.8909836458792624
YNR058W,1732,129,20181015_135757_230plate10WellI01BlueChannel(series1).tif,10,I01,1,BIO3,1732,-8.829540168493068,1.4463008887160673,5.102890824446262,0.42800730994832703,1.9075430917534428,-2.7629411588319344,-1.523381588847543,-4.766329009406648,1.7886039588022555,-2.419713914911079
YAL054C,1882,123,20181015_135757_230plate10WellK03BlueChannel(series1).tif,10,K03,1,ACS1,1882,1.9332391346039324,-0.4429003033239295,1.6518758413622063,-1.6887237617072786,-3.23681370766699,-3.9311132956355768,3.260605353325553,-1.360836964215224,4.2628013309515165,2.978764679282821
YML089C,123,30,20181002_135035_623plate1WellB17BlueChannel(series3).tif,1,B17,3,,123,9.270521985271902,2.2899731146918505,1.1353610017206184,2.3076727823659695,-5.4028331851548295,-2.597563462510758,1.542290496930582,0.9149918934995902,2.8890211967223407,-2.202780404769035
YNR059W,1738,15,20181015_135757_230plate10WellI03BlueChannel(series1).tif,10,I03,1,MNT4,1738,-4.955136342386927,-2.660562085060908,-0.07825614003020924,0.037168043563905837,0.4888019816821266,1.7153079217298985,-1.6510211093551237,0.23863248062228748,0.5502697384396117,0.8694387694770519
YDL236W,1933,59,20181015_135757_230plate10WellK20BlueChannel(series1).tif,10,K20,1,PHO13,1933,-6.820355963959253,-0.013043809259619475,0.6736594138861746,-1.266258529493021,-0.8565055425117739,2.5504679734200226,-0.8466820825811685,-0.20438514847985756,0.9755570255959733,0.9993867132664145
YMR232W,983,25,20181002_135035_623plate1WellN16BlueChannel(series2).tif,1,N16,2,FUS2,983,-0.560993023489877,1.213530597688611,-1.0143459861606245,-0.9667712239945339,-0.5298619003226757,0.012925228885641467,-1.9826252314920458,0.4111722018526123,-0.90017721539038,0.21312538406231432
YLL063C,191,118,20181002_135035_623plate1WellC16BlueChannel(series2).tif,1,C16,2,AYT1,191,-7.307740731549378,1.2393977208511457,-0.19391674018814403,-2.674474182325126,-1.1193720334453308,1.5338684484836478,-1.1620773580469947,-0.7045107743720792,-0.17384040295190534,2.029943076718547
BLANK,2175,4,20181015_135757_230plate10WellO04BlueChannel(series3).tif,10,O04,3,,2175,-6.741006113719184,10.3594130812469,-15.646403039315791,10.59343148317014,4.527062854252183,-0.9783985221209961,-0.4025252543038101,-1.3513709302492682,0.39586440293236924,0.5754719188678399
YLR124W,110,23,20181002_135035_623plate1WellB13BlueChannel(series2).tif,1,B13,2,,110,-1.1810703703513015,3.918836655030312,-1.9922540725320748,1.4385601651243443,-2.489237943077129,-3.0473627466140334,-1.0316863347918537,4.599351734579111,0.20100769370627117,-0.032262583986522105
YAR029W,722,66,20181002_135035_623plate1WellK01BlueChannel(series2).tif,1,K01,2,,722,-0.32157945924946846,-2.583474719666217,-2.212210480080016,-3.5060071396097348,3.1068129293361597,-0.00990695669290186,0.6444743890148046,0.5032528753506306,1.3067735266210143,-0.3792779840126152
YDL210W,1742,94,20181015_135757_230plate10WellI04BlueChannel(series2).tif,10,I04,2,UGA4,1742,1.8524498836821524,-1.390322917753856,-1.4740294373195166,-1.6539039635673263,-0.14828500259872074,-1.0334895258205314,-1.2859838337220875,-0.6141597651749485,-0.2344603074588432,-1.2400362208611795
YDL104C,1533,24,20181015_135757_230plate10WellF06BlueChannel(series3).tif,10,F06,3,QRI7,1533,-1.2393458052268376,-0.5836710970312442,-0.3743553436493577,1.8093575091448941,-1.1560766099899504,-2.1053571423107256,-0.6790994677122691,2.6090126546543413,-0.7261767753943036,0.18259402306207811
YBR271W,1402,45,20181015_135757_230plate10WellD11BlueChannel(series1).tif,10,D11,1,EFM2,1402,2.2675317048035994,-2.9827989225901668,-2.17269279679012,-0.00514259170886116,0.6002395734159335,-0.5425524477386707,-1.1587187278809308,1.3068268804940069,-2.3561255559300474,-0.11112011516764664
YJR140C,1352,73,20181015_135757_230plate10WellC18BlueChannel(series2).tif,10,C18,2,HIR3,1352,3.5315717827513904,-2.0121852175008637,-0.4476103001519085,-0.5736274586377456,-0.7044295142699447,-5.306323949818644,1.9245176223263054,0.16774097649744701,-2.4703511154609696,3.7400852230517483
YCR086W,1997,111,20181015_135757_230plate10WellL17BlueChannel(series2).tif,10,L17,2,CSM1,1997,2.382753602096068,-0.9502058448135708,-0.5269860422351298,0.6973479122728177,0.5334937393243183,-0.7026436613335578,-1.2124230206410487,1.7966198056665816,-0.7121519308062533,0.3176246332736273
YDL201W,1646,12,20181015_135757_230plate10WellG20BlueChannel(series2).tif,10,G20,2,TRM8,1646,-1.9325058003591264,-2.2948386804005674,-0.29016922638322534,2.4601654452636295,-0.37716713559178094,-0.2116314252834514,-1.7774408714051428,1.7844484571499124,1.5587491728436227,-0.5173826043781605
YCR045C,1823,64,20181015_135757_230plate10WellJ07BlueChannel(series2).tif,10,J07,2,RRT12,1823,-3.5480907403177944,-0.9908675042207132,-0.5366619492610216,-2.1950830797795655,0.503003581591761,1.9279820722078693,0.4522567695578878,0.13607916994993308,1.9343708892029776,-0.7307172608635959
YMR042W,112,90,20181002_135035_623plate1WellB14BlueChannel(series1).tif,1,B14,1,ARG80,112,-15.41363342778297,3.7092994152838217,5.446572520361971,3.427615768708813,2.736115830698839,-2.321152284316059,0.3315031099062481,-0.11692849903149422,-2.443573974840773,-0.3056444397084038
YLR077W,755,15,20181002_135035_623plate1WellK12BlueChannel(series2).tif,1,K12,2,FMP25,755,-5.784766157587004,-1.4967356221273207,-0.6931268910446553,-1.2864196730292037,-0.10892972200967524,1.3379036723831939,-1.1336175421224477,1.0969541414097808,1.6969526251609455,0.02427166797906913
YDL110C,1557,48,20181015_135757_230plate10WellF14BlueChannel(series3).tif,10,F14,3,TMA17,1557,-1.5172821414920996,-2.0611300523241285,-1.1720288561576278,-1.5762544541545895,1.2947171236513655,1.1650333062642024,-1.4006533299871347,0.39472998034827417,1.5070192309190176,-0.48092019956065474
YLR067C,642,37,20181002_135035_623plate1WellI22BlueChannel(series3).tif,1,I22,3,PET309,642,4.239891671237673,-0.4174729065361635,-0.1521330462975437,3.982489976114071,-0.8742036412703297,1.020872136634953,-1.4280305447040913,1.4870826051799833,-0.6889235151576559,-1.3321973736424257
YML008C,711,60,20181002_135035_623plate1WellJ21BlueChannel(series3).tif,1,J21,3,ERG6,711,-7.920523170956129,0.9743564422026971,0.21157756816442477,-1.9965477190397096,-1.851839514303457,2.2071728004403974,-1.1091980659071974,0.27672290927786475,2.5633417561524925,0.8353308136977079
YLR122C,97,15,20181002_135035_623plate1WellB09BlueChannel(series1).tif,1,B09,1,,97,1.424866736343774,-3.658599390687947,-0.7412812992696614,1.617851323735223,-0.2346968666190469,0.26124857796968304,-0.04638902873476017,0.7705870469970102,0.7372678899606152,-0.6629940848576076
YMR238W,1008,7,20181002_135035_623plate1WellN24BlueChannel(series3).tif,1,N24,3,DFG5,1008,-2.4966670948174636,-2.872277819975823,0.07403107926830038,-0.40256937598982084,1.1689065125877955,-3.3428051306688324,1.844597501648277,1.377735600617963,-0.8959654523393937,4.261315170539677
YMR238W,1007,26,20181002_135035_623plate1WellN24BlueChannel(series2).tif,1,N24,2,DFG5,1007,-0.44629961865851947,-3.2453420455827615,-1.1873591087945428,0.6775681034519648,0.12797643888137009,-0.8137347658166266,-1.44998716401641,0.3557553398958843,-0.955503582897961,0.4940345304440877
YDL156W,1970,15,20181015_135757_230plate10WellL08BlueChannel(series2).tif,10,L08,2,CMR1,1970,3.4257398856361143,-1.659716431877841,-0.08774501553883149,0.23288926845683638,-1.5467889587554153,-2.6659278312906434,1.740590240371857,0.7822954408790972,-0.48297156913531636,1.0786978283195336
YLR461W,1480,64,20181015_135757_230plate10WellE13BlueChannel(series1).tif,10,E13,1,PAU4,1480,7.332527529206481,7.0078725312207135,-1.1674547756845806,-5.551642768146891,-3.8032646807062065,-3.4176048445268363,1.0613164307622693,-1.8543403653263297,-2.170261306440223,-0.047623843181472364
YMR141C,130,77,20181002_135035_623plate1WellB20BlueChannel(series1).tif,1,B20,1,,130,-15.169331812260273,4.313949005518381,5.565552112233655,0.4537271494045837,2.6858420949286885,-2.4652483708355106,-1.1824135946193013,-2.1445257584656803,1.111152638715136,-0.5862495286566567
YLR001C,197,19,20181002_135035_623plate1WellC18BlueChannel(series2).tif,1,C18,2,,197,-14.976490376623083,4.078867996314755,5.673872153853648,2.633752256874878,1.3668011294690474,-2.0365667135150645,-0.05641232647504178,-0.6143628928876783,0.3580552270318301,-1.0765220408105387
YJL021C,2110,13,20181015_135757_230plate10WellN07BlueChannel(series1).tif,10,N07,1,,2110,-4.831447815030888,-1.5487938524161085,0.05548117856883178,1.8772096011853219,-3.8265417444922396,2.442348866859255,-0.7876180380321842,-0.6256305988822224,0.4791685470686545,0.4773073299433855
YLR001C,196,47,20181002_135035_623plate1WellC18BlueChannel(series1).tif,1,C18,1,,196,16.897294590596257,5.6529385520337705,4.661483089653059,-1.6677435849615379,4.81581020963279,6.7093941378964175,1.1948972670062357,-3.392232312169376,2.622879566859173,-0.5432251805576167
YDL175C,2113,17,20181015_135757_230plate10WellN08BlueChannel(series1).tif,10,N08,1,AIR2,2113,-4.970859895394752,1.3095496607689976,0.300073843108875,-0.005376021074676611,-2.787366319352079,2.1494588527671805,0.3127592550569865,-0.06223018999265729,1.749060683356458,-0.35285850372097494
YDL168W,1999,113,20181015_135757_230plate10WellL18BlueChannel(series1).tif,10,L18,1,SFA1,1999,1.287243909563715,-4.681769143915658,0.5069648053873855,3.106554071873538,-2.637668625362625,-1.814939091554015,-0.2764246096994078,0.11907586686500471,1.858366255390209,0.7377660139363041
YDL236W,1933,9,20181015_135757_230plate10WellK20BlueChannel(series1).tif,10,K20,1,PHO13,1933,-9.616902346553792,7.809601863546087,5.718650505768131,-0.06779595960090859,-3.7613611286654964,-2.305476316729549,1.9086811330550715,-4.8855219820708715,0.11859576192089195,-2.822977467537591
YLR089C,882,61,20181002_135035_623plate1WellM06BlueChannel(series3).tif,1,M06,3,ALT1,882,6.8064971257948566,2.3450983848405063,0.47430374536498265,4.7312239241781855,-7.0396682003818665,-0.08656707168130048,4.953624477006075,3.135131960376628,3.4578766430770043,-3.265769307568437
YAL018C,446,7,20181002_135035_623plate1WellG05BlueChannel(series2).tif,1,G05,2,LDS1,446,-1.204586516397402,0.01924312603982438,-1.8145692248197103,-3.071003847629073,3.0284630733494526,0.9926314250137023,0.3881841615476249,1.822215127753065,2.308523764662313,-1.1390922494652143
YAL068C,8,18,20181002_135035_623plate1WellA03BlueChannel(series2).tif,1,A03,2,PAU8,8,-8.71227826620056,0.25821395190712054,0.022172462549939508,0.8061979620773686,-2.1448976859646436,2.188246361960778,0.03393151688483637,2.866119087809632,-0.06916911297277971,1.1959028652629455
YAL013W,471,12,20181002_135035_623plate1WellG13BlueChannel(series3).tif,1,G13,3,DEP1,471,0.3072228158428153,-1.1536848339935677,-1.5395591799595336,-0.44166543413891757,1.9468980404423275,-0.5515610805017187,0.3321837187064085,1.4462368636813556,-2.69137402192008,1.4008403651909003
YDL116W,1579,23,20181015_135757_230plate10WellF22BlueChannel(series1).tif,10,F22,1,NUP84,1579,6.0416542788486325,1.5125722021159014,-1.3308941014054665,-5.790566348293468,0.3072513447322699,-1.8507920162022675,-0.4134067692024556,-1.3575971550442416,1.8088634057605535,-2.354624636373945
YBR283C,1517,3,20181015_135757_230plate10WellF01BlueChannel(series2).tif,10,F01,2,SSH1,1517,-6.144656883446457,-6.174649822422991,0.5153888057450886,5.9796271509467225,-1.7148341738453197,3.910682357939543,4.592074682355669,1.1595355399292944,-2.59413993549351,0.49685068136151944
YAL060W,45,42,20181002_135035_623plate1WellA15BlueChannel(series3).tif,1,A15,3,BDH1,45,3.314710255956465,-0.6325263244717222,-2.344522344412118,-0.8591567252584938,0.3728525980585669,0.6251770182484746,-0.19184368301855184,-1.1457218375566516,-3.0310297914370508,-0.6675227379637576
YDL198C,1627,31,20181015_135757_230plate10WellG14BlueChannel(series1).tif,10,G14,1,GGC1,1627,2.4012873757191433,-1.9382152482960557,-0.07939101579252994,1.7339094928926417,-1.888979804965355,-0.05712304306839583,-3.152359880005946,-0.6487955267889287,1.130954339624953,0.05294976711872039
YDL218W,1778,2,20181015_135757_230plate10WellI16BlueChannel(series2).tif,10,I16,2,,1778,-0.9312095096806561,-2.611987666118347,-0.8189061138992934,-2.839298192110871,-0.31706277930728666,1.98337927143957,1.5076157193488242,-1.5908121983227712,-0.15991845360000662,-0.09366669375185538
YDL233W,1921,26,20181015_135757_230plate10WellK16BlueChannel(series1).tif,10,K16,1,MFG1,1921,5.078910443096527,0.4753919260548668,-0.9116256183953283,-1.3708646905762387,1.0057484716176113,0.5459543438574791,1.3487831372931982,1.9077950619693302,1.9468019110684909,-3.715850284260737
YLL062C,184,7,20181002_135035_623plate1WellC14BlueChannel(series1).tif,1,C14,1,MHT1,184,10.017132034353951,1.3125299135123782,0.1440327302938099,-1.3229388963346005,3.8037779813530364,1.714383426262013,0.5254668957514075,0.6703479437422534,-0.3959677629781486,-1.8716938917259964
YDL135C,1832,27,20181015_135757_230plate10WellJ10BlueChannel(series2).tif,10,J10,2,RDI1,1832,-2.6554483610290847,-3.3915357673575075,-0.689934842136697,-1.8251855263546413,1.0092951685582314,1.017685174005385,-2.0727305145398125,-1.5344300140899914,-0.3838438909355066,1.3622008507333923
YMR014W,957,21,20181002_135035_623plate1WellN07BlueChannel(series3).tif,1,N07,3,BUD22,957,-9.557746138129815,-6.208494084268454,1.1839841252733843,-0.7887934592677387,0.494063453933482,3.0804196255523757,2.262275857340468,-1.08104780550352,0.7200347997217086,3.4719746211014098
YMR233W,989,64,20181002_135035_623plate1WellN18BlueChannel(series2).tif,1,N18,2,TRI1,989,-13.541924981697278,0.10107112299073437,5.252330353896629,1.7620269370954718,3.6739906043968613,-2.621553754228442,-2.668793650199623,-0.8322885830890873,0.9047322759677457,-0.7503778054309481
YAR030C,734,7,20181002_135035_623plate1WellK05BlueChannel(series2).tif,1,K05,2,,734,-0.5845501564508435,-2.973362705958558,-1.5694799931565742,-3.5871478952251787,3.9063636351480455,1.616463438829014,0.7971244790826018,0.0779871599805839,2.0181092711051294,-1.0957147083622725
YCR043C,1816,50,20181015_135757_230plate10WellJ05BlueChannel(series1).tif,10,J05,1,,1816,-3.7068325015041417,-7.078485321497299,0.1841550277889328,5.335467626754516,-3.896444814230567,3.395060257295393,5.0164987192381565,-1.855698510690336,-4.717956731901296,1.8545694176044478
YNR063W,1763,14,20181015_135757_230plate10WellI11BlueChannel(series2).tif,10,I11,2,PUL4,1763,-2.078314711004192,-4.538306486927426,-1.1268409782056386,-0.8731076488835048,2.0971869017995983,2.2572012667714785,3.1809588596855054,0.08389203470553275,-2.4721678775095697,0.24173872138526886
YMR194W,684,39,20181002_135035_623plate1WellJ12BlueChannel(series3).tif,1,J12,3,RPL36A,684,-3.7302299171874056,1.4097458381379342,-1.0195697772530632,-2.270091243368958,-1.8249900852453056,-0.2678656973768179,-2.0303036913901242,-0.6495594910069609,-0.42391623293604996,0.8775175277783163
