,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Perimeter,AreaShape_Solidity,Granularity_1_Yme2,Granularity_10_Yme2,Granularity_2_Yme2,Granularity_3_Yme2,Granularity_4_Yme2,Granularity_5_Yme2,Granularity_6_Yme2,Granularity_7_Yme2,Granularity_8_Yme2,Granularity_9_Yme2,Intensity_IntegratedIntensity_Yme2,Intensity_IntegratedIntensityEdge_Yme2,Intensity_LowerQuartileIntensity_Yme2,Intensity_MADIntensity_Yme2,Intensity_MassDisplacement_Yme2,Intensity_MaxIntensity_Yme2,Intensity_MaxIntensityEdge_Yme2,Intensity_MeanIntensity_Yme2,Intensity_MeanIntensityEdge_Yme2,Intensity_MedianIntensity_Yme2,Intensity_MinIntensity_Yme2,Intensity_MinIntensityEdge_Yme2,Intensity_StdIntensity_Yme2,Intensity_StdIntensityEdge_Yme2,Intensity_UpperQuartileIntensity_Yme2,RadialDistribution_FracAtD_Yme2_1of6,RadialDistribution_FracAtD_Yme2_2of6,RadialDistribution_FracAtD_Yme2_3of6,RadialDistribution_FracAtD_Yme2_4of6,RadialDistribution_FracAtD_Yme2_5of6,RadialDistribution_FracAtD_Yme2_6of6,RadialDistribution_MeanFrac_Yme2_1of6,RadialDistribution_MeanFrac_Yme2_2of6,RadialDistribution_MeanFrac_Yme2_3of6,RadialDistribution_MeanFrac_Yme2_4of6,RadialDistribution_MeanFrac_Yme2_5of6,RadialDistribution_MeanFrac_Yme2_6of6,RadialDistribution_RadialCV_Yme2_1of6,RadialDistribution_RadialCV_Yme2_2of6,RadialDistribution_RadialCV_Yme2_3of6,RadialDistribution_RadialCV_Yme2_4of6,RadialDistribution_RadialCV_Yme2_5of6,RadialDistribution_RadialCV_Yme2_6of6,Texture_AngularSecondMoment_Yme2_4_00,Texture_AngularSecondMoment_Yme2_4_01,Texture_AngularSecondMoment_Yme2_4_02,Texture_AngularSecondMoment_Yme2_4_03,Texture_Contrast_Yme2_4_00,Texture_Contrast_Yme2_4_01,Texture_Contrast_Yme2_4_02,Texture_Contrast_Yme2_4_03,Texture_Correlation_Yme2_4_00,Texture_Correlation_Yme2_4_01,Texture_Correlation_Yme2_4_02,Texture_Correlation_Yme2_4_03,Texture_DifferenceEntropy_Yme2_4_00,Texture_DifferenceEntropy_Yme2_4_01,Texture_DifferenceEntropy_Yme2_4_02,Texture_DifferenceEntropy_Yme2_4_03,Texture_DifferenceVariance_Yme2_4_00,Texture_DifferenceVariance_Yme2_4_01,Texture_DifferenceVariance_Yme2_4_02,Texture_DifferenceVariance_Yme2_4_03,Texture_Entropy_Yme2_4_00,Texture_Entropy_Yme2_4_01,Texture_Entropy_Yme2_4_02,Texture_Entropy_Yme2_4_03,Texture_InfoMeas1_Yme2_4_00,Texture_InfoMeas1_Yme2_4_01,Texture_InfoMeas1_Yme2_4_02,Texture_InfoMeas1_Yme2_4_03,Texture_InfoMeas2_Yme2_4_00,Texture_InfoMeas2_Yme2_4_01,Texture_InfoMeas2_Yme2_4_02,Texture_InfoMeas2_Yme2_4_03,Texture_InverseDifferenceMoment_Yme2_4_00,Texture_InverseDifferenceMoment_Yme2_4_01,Texture_InverseDifferenceMoment_Yme2_4_02,Texture_InverseDifferenceMoment_Yme2_4_03,Texture_SumAverage_Yme2_4_00,Texture_SumAverage_Yme2_4_01,Texture_SumAverage_Yme2_4_02,Texture_SumAverage_Yme2_4_03,Texture_SumEntropy_Yme2_4_00,Texture_SumEntropy_Yme2_4_01,Texture_SumEntropy_Yme2_4_02,Texture_SumEntropy_Yme2_4_03,Texture_SumVariance_Yme2_4_00,Texture_SumVariance_Yme2_4_01,Texture_SumVariance_Yme2_4_02,Texture_SumVariance_Yme2_4_03,Texture_Variance_Yme2_4_00,Texture_Variance_Yme2_4_01,Texture_Variance_Yme2_4_02,Texture_Variance_Yme2_4_03
PC1,0.2824988090544918,-0.14007722081672738,-0.07290055495853083,0.17347401021170517,0.161995411806481,0.28428114933748494,0.2706081690281097,0.3347627988425012,0.3354941244465435,0.33498550213771333,0.31408310627312747,0.3177849307031636,0.27474856271069553,0.2547848904917739,-0.5755871970754286,-0.0034764835576206925,0.49510167062050225,0.36075201149640773,0.20631905742724055,0.11921329393471695,0.08877314314236782,0.020287442323153743,0.010555319324872027,0.009042293395306917,0.4757489132320886,0.3237999045861236,0.15707276984749294,0.19154997885705835,0.6345640720282557,0.8668335174073709,0.11232319276518314,0.7186541477282677,0.025825924166065783,0.1567264058162965,-0.021324149503628098,-0.03614412930111434,0.9157245391533565,0.08090167677062508,0.3856407608583221,0.04602156309037321,0.05696943046059737,0.17840594720784375,0.3570813552973573,0.11652743719508715,-0.5275235677351571,0.011742220311721691,0.022261722651711825,0.15317122088336185,0.36138784548883707,0.16479026595279525,-0.5489983232839668,0.2491066436564949,0.38502276479885156,0.571962222065041,0.7107203517373429,0.6490137055071239,0.233898901788864,-0.7565786153755077,-0.7812790664333301,-0.7574853285304488,-0.7804651022463268,0.847248412107378,0.8356770670152607,0.8215102676498828,0.8248917822281714,-0.2524892577097161,-0.41552842417626146,-0.2539469271547923,-0.41181969949246555,0.9096826817002875,0.9219242360382722,0.9118805237909532,0.9201061458136403,-0.8472336092530955,-0.8525135069687945,-0.8475459455036265,-0.8514499736533652,0.9167980367514881,0.9241997199331763,0.9186094523568287,0.924092492234582,-0.559022600000702,-0.4694042340220341,-0.5743404163798052,-0.43944538984885884,0.799438728618641,0.7596108047029693,0.8086968405040109,0.7702727851265689,-0.392955720302878,-0.46356652181040325,-0.3942860882684064,-0.4619145680475739,0.7229746050265914,0.7355960192658201,0.7253314524070716,0.7363515581081217,0.9198447874293068,0.9286254877543809,0.9217695464203726,0.9281772462938823,0.8371868757992128,0.8413414990281848,0.8295489349544166,0.8375570290910096,0.8533211910307582,0.8486847440692683,0.8369825498167063,0.8412391926386527
PC2,-0.895131781090661,0.17590223767508623,0.06633224025610886,-0.10524148411732771,0.008897298482990932,-0.8687299605999061,-0.867140325469626,-0.8996237521758882,-0.9048410606129094,-0.9034762227884917,-0.9026455396926101,-0.901883691896265,-0.8834156730724471,-0.25475462091934636,-0.04225807239548009,-0.035157158547781286,0.13094240537523538,0.038093373544494234,-0.04760152241439548,-0.055991678268327204,-0.07482712353046297,-0.04912950721923402,-0.04209788653570543,-0.047210226956313904,-0.8102178243518495,-0.7666016359001081,0.09492746288910123,0.24653013228055265,-0.0764817338903109,-0.028801156886663654,0.29975221760229553,0.19744716863347223,0.44237575971317217,0.2164283010617333,0.2703610520026141,0.2600435007128023,0.13519755863323613,0.3879318974075011,0.23550078542055758,0.10826381612687705,0.14754986712891585,0.07403759274216366,-0.19362292027196296,-0.15015907289042796,0.1106433139863544,0.13964327167946844,0.16962447759772709,0.0787363593002012,-0.24545215621837269,-0.24611366552999228,0.21321638413943206,0.07212119460815127,0.10620077594366699,0.09767487050673909,0.034298965254140494,0.10052427107964837,0.39093806178561746,-0.18639137536612,-0.1726421323300707,-0.18836196607262673,-0.17107098334437124,0.22206845888129623,0.2292595455449863,0.23812972857796183,0.23347158237899335,0.11351654001243326,0.12279006514525531,0.11065931516232232,0.12120276597943155,0.022019191332134338,0.020127061099253225,0.025125277446330793,0.018402797632836358,-0.020110343611930943,-0.013409277907846583,-0.020385987943587498,-0.012759540042419406,0.04217030170178791,0.03870934079521123,0.04527838276976652,0.03734868195434529,0.017360310700807645,-0.018994831562610275,0.03310791545461217,-0.021370992297194958,0.003763714264304789,0.043650466028716126,-0.0012616965864936846,0.04599361529738513,-0.31956304249766954,-0.3139886237933772,-0.32131837324668616,-0.3129745807868667,-0.07765640216294539,-0.07320587789527204,-0.07349532722962704,-0.07294556771256014,0.0267848848535335,0.02284853059241761,0.029764869657188938,0.021744683658017627,0.2164690484492092,0.20399062009750157,0.22084701257097067,0.2073325682045224,0.2217748241493131,0.2183516075659433,0.2303478784319604,0.22213386637715243
PC3,0.00015259329570561813,-0.02519538224683238,-0.027572265212850826,-0.002114480544349357,-0.0077750894805193645,-0.004395813883737593,-0.0052059698196315375,-0.011035998552127838,-0.009391048424282419,-0.008265755136714074,-0.0037240432531757523,-0.0018452605576266185,0.001070029969736173,-0.023756180800712956,0.02253106103618203,0.022171349994068203,-0.057776029524193806,-0.03100080625904112,0.006240888970603635,0.04815986000951989,0.03529901123306848,0.0280871944104416,0.02442165979384744,0.03677395854113208,-0.012225063408971747,0.03507949163478521,0.10243185005141163,0.029332509237463254,0.06224466370501793,0.12290640182153428,0.07619143608266231,0.011909270710619762,0.10335026567280355,0.07277423533516295,0.07696985676371353,0.07713256981208855,0.08163522735148364,0.08801502217873541,-0.035587824554145664,-0.011646207034153516,-0.03706924384387406,-0.04771084895657562,-0.05907604006861912,0.002544501101441242,0.09690614236206153,-0.012362169681483966,-0.035211232043123986,-0.04538945817072127,-0.05736849220581706,0.0013843807246747336,0.09863472459481011,-0.06001130112568638,-0.06641375091917937,-0.03687623305895737,0.001339357504386036,0.03670184007526487,0.08683195837813996,0.48674448369590545,0.4515909443975423,0.48473028972837306,0.4528069212461295,0.22116916569055228,0.2582560075544063,0.25098405845438737,0.26959760477159184,0.5546497929277626,0.5295983449711872,0.5581890828585204,0.5313224498395608,-0.10689688461862368,-0.08436667161597135,-0.10356096407284132,-0.08604347366967459,0.41616120770665116,0.4090695529933085,0.4160782663520408,0.409250463727117,-0.0799787965625712,-0.06109881750622589,-0.07641076339369635,-0.06195716059382454,-0.14139729053163533,-0.09498969132746539,-0.14559748111653512,-0.08386662901795955,0.07848174695312561,0.04848601480264137,0.0838467080612148,0.04897730637593698,0.656248534704274,0.6197363658363365,0.653983897982371,0.621351630413827,0.4553641728540415,0.45424704962267337,0.46114316819902856,0.4554122056488206,-0.08708429210552557,-0.06817654895507064,-0.08334390676714631,-0.0682791651381287,0.30608283355667243,0.2998918002988654,0.312532382717593,0.3062821977447861,0.2784703857773161,0.28380216283895593,0.2926701222649695,0.2924204132474381
PC4,0.16191491400863084,0.2386966885538497,0.21960649926490156,-0.19277317628391702,-0.2643305104003846,0.16556306489948094,0.17202834398669345,0.07091563232791513,0.08450278509966265,0.08836820139420354,0.09618503061962323,0.0892843474022937,0.15987559688373826,-0.20698090588644538,0.5444373914184688,0.024203973353514322,-0.25198982789830576,-0.39870969536191453,-0.37404618225486086,-0.26333861318713137,-0.13502843902619094,-0.1064287218793948,-0.052131620187679736,-0.013311558787420928,0.07211159503995243,0.17932900818704958,-0.3513118326862739,-0.48012455033210555,0.1537484334046709,0.02859936165193353,0.09344408827750258,-0.3716077089746898,0.028156497283011273,-0.4474283402180456,-0.18909905143607872,-0.13984718207803315,-0.12071453314080294,0.08150824021087198,-0.5175122242241513,-0.4528537250360344,-0.6055507993601057,-0.5932415400281108,-0.15625555611171038,0.4960493848052455,0.5379090185274035,-0.401170227181408,-0.5542886527524734,-0.5464804305449902,-0.12899745543627208,0.4624024791810867,0.4854407332282295,-0.45146906972264594,-0.514969915342053,-0.4052126905368655,-0.1498916974687038,0.06345554352888236,0.09557489814801053,-0.12791473959086444,-0.12421677143056772,-0.1303364021089738,-0.12281156641124889,0.14804565250454826,0.17290257944566945,0.17376307496822146,0.18223865469698086,0.27565174532071335,0.26551733389551396,0.2694168269735716,0.26272386522635155,-0.08371367263191672,-0.06702039282602253,-0.07925990184774136,-0.068585154280766,-0.020059628044498082,-0.014624644849538541,-0.020893888492530537,-0.012944155832232997,-0.05980868054939632,-0.04790875173704945,-0.0570840753205861,-0.04900850003116307,-0.06494968135424696,-0.05833952596968044,-0.05082657717126613,-0.04934110308787596,0.02772332360674033,0.022543016538770586,0.02011134439691131,0.013502095155421893,-0.356256734708317,-0.3460235401260983,-0.35980165205850245,-0.34577225778228815,-0.22682817988015896,-0.21331707048799467,-0.22305916701562478,-0.21276811216676966,-0.0696945639044653,-0.057258967488791244,-0.06735340303642594,-0.05869766764241039,0.18785351092582753,0.1829613937485987,0.1890095215290968,0.18529205524472567,0.17556194221686344,0.18039015561581773,0.18550808316818085,0.1859873378372408
PC5,0.08500591983218798,-0.1122255250204162,-0.1296059786775246,0.08167874538757293,0.07101037228975386,0.05560067101512264,0.05523481218478428,0.12227293203462582,0.10954237834048458,0.10508766846785887,0.10934241022537243,0.11054482148751979,0.07006786713453464,0.08954225412740527,0.1620000505412157,-0.02077979215769095,-0.1920701766535411,-0.022963245376089302,0.02389769562281619,-0.01105860472302488,-0.017757855896682658,-0.041612558456853604,-0.02038992503218723,-0.08167116142360205,0.05053904257219675,-0.16500408750478965,-0.38377941094030193,-0.31690565162124656,-0.20837892729052362,0.05767188376565382,-0.48269317238852405,-0.18348058277107993,-0.5791774784183119,-0.35433397395429367,-0.29983194802454916,-0.32056633890561304,-0.02016324276559755,-0.517639872087766,-0.2467948865575502,0.41743019345623306,0.5252268310473027,0.5062486996556151,0.08661245282804085,-0.49174058104368934,-0.377388344437384,0.39497410153859025,0.5057324098756425,0.4947747762862723,0.08593192817003055,-0.4570939445261086,-0.3858496517896507,0.2879128983211291,0.3014935357029989,0.20726940463526983,-0.03154814060716324,-0.30502214817089357,-0.5244809199685717,-0.10531223114557457,-0.1064885446268413,-0.1050935370119768,-0.10731716930610412,0.18840880426598533,0.19997553914231994,0.18860912139053085,0.20685470180916044,0.25987448330964186,0.2592527649095169,0.2636160815267575,0.253902100623243,-0.007629793445061937,0.0030701750349278684,-0.008055502641127156,0.006785530907946454,-0.005871888377171464,-0.00231311513272756,-0.006051907882969584,-0.0044381413243069386,0.013182028787411025,0.02461104790456783,0.013412884508042143,0.02447767618170473,0.033564017580706464,0.037326168219898107,0.02314667815453845,0.04294500491255697,-0.00680823753895388,-0.0097113192312773,0.004761056357257523,-0.008954971723868992,-0.22503341258157666,-0.22356081302314357,-0.22487760972377951,-0.2237659537436654,-0.06993780666436963,-0.05688165636544201,-0.0683722406056255,-0.05818445786821117,0.002474920558790316,0.014069877084546668,0.0027755495474272897,0.014734711444666058,0.20793079593335026,0.21318695764455933,0.20871133795522065,0.2101022458885203,0.20360830578620595,0.20948695481224114,0.2035798970741806,0.21099249436921055
PC6,0.08360262315110277,-0.01230905707262794,0.00035488875669847724,0.043939830746860725,0.012282046988925063,0.09094948200062848,0.09011122075714452,0.08629230867670448,0.08743571272161302,0.08911840600339613,0.0860968201653979,0.08348531147323286,0.08780916741522435,0.04520057859757509,-0.000820812222831023,0.05441669124852578,-0.01764356299255929,-0.002512506302895083,0.01589694288116247,0.032801263872655854,0.008315394793225931,0.014467346761117958,0.04634112673957772,-0.0035335710522692632,0.10168702712198956,0.18371677708130915,0.1571838196270941,0.17663162416231842,-0.08432480409376825,0.17895485220691387,0.21283156658590588,0.14395195012327525,0.19224811128314737,0.17131053471950197,0.08807586389275142,0.08422170021966191,0.12977556071994326,0.2055994725205762,0.16576139938179482,0.09037035113473445,0.036533044402049936,-0.11082803560050827,-0.2355993863523817,0.09396570667678632,0.1177467599735838,0.08083782454437408,0.0348781364897073,-0.11390522692511429,-0.22794662070365562,0.10359753975261657,0.11203677754498709,0.12218012129140556,0.07667952926722628,-0.056724137079563225,-0.1451089902057013,0.049806154061050385,0.22676771249831632,0.08867735965969813,0.11136490985773466,0.08640553480222192,0.10679593654966872,0.21787347943408555,0.2112854671153527,0.26230224235076277,0.23734413801657675,-0.4369865159545764,-0.3774729682671652,-0.4597333536836334,-0.4078184687076311,0.018862842921995113,-0.012453671678674094,0.02701510733232573,0.006888755204103511,-0.0263251882121795,-0.0004803867098091092,-0.026962914376440213,-0.011158785944678494,-0.045321883032575845,-0.06580644770616384,-0.042749918041140464,-0.06409560019162455,0.2733779144852648,0.25323067152363515,0.344874782138393,0.44435506341164566,-0.22098572060269608,-0.20879765422488925,-0.2608341466786059,-0.31904579811984296,0.04333218403988453,0.06565361574898017,0.03897020535076474,0.06583658019760508,0.016068145547636085,0.006355987150904242,0.02026542445214241,-0.00021998468716551156,-0.0455742841995597,-0.05829228225571794,-0.0435260168215167,-0.05244194018846577,0.1669906865903443,0.15229445023870072,0.1701708041153863,0.1489786083726507,0.18869693593253406,0.1819635190247726,0.20801395226001956,0.1926294230875205
PC7,0.19453767145172632,0.4415468762980485,0.3741787074825986,-0.3561564251155163,-0.46984416252049377,0.2520422386565432,0.26357755999289945,0.052657365350825394,0.07884949791546132,0.08629711774712727,0.10647240965151825,0.09296109541514642,0.23975612507564126,-0.37886765977527387,-0.031490135617994415,0.10137243106822359,-0.1701376503642188,0.06468015266903775,0.14091351555176945,0.12476496970522297,0.06501915080479928,0.07082828044443765,0.06283973253471334,0.055930959219324276,0.1888301277192787,0.397666444671777,0.1991201769248493,0.0687936921461303,-0.054296262537138734,0.034129564542681366,0.44914782610304393,0.029618324357009753,0.36002042468862644,0.1337614603266342,0.18864451232874124,0.1934400695674744,0.002073298521807928,0.4217975517552327,0.029019191347826056,0.27184618860325743,0.2748555948156369,0.03662196897226213,-0.4579860336971626,-0.30920950450804313,0.35382571846394734,0.3916380122472199,0.4049239256461752,0.14523179651218096,-0.40066267160891034,-0.34033412452410305,0.22621505660922564,0.30929889511644854,0.2382101426225216,0.03169674010534674,-0.20791619993379892,-0.1851737949890184,0.23459649213600636,-0.014689862313374331,-0.017935446337035886,-0.013027796094856336,-0.014667965831157063,-0.034271360239969524,-0.03183190766623261,-0.04381761976830559,-0.041156409347598705,0.08754253331893615,0.07369927295764932,0.10852353592088783,0.09241852876349343,-0.03678622510098037,-0.027976649801174976,-0.042453436402650306,-0.03865469283506226,-0.033690162205816256,-0.034441033702306376,-0.031535128774419004,-0.028533264918202222,-0.024227918186320366,-0.017114129593189743,-0.024249150479569923,-0.01937801581208862,-0.13543431646883447,-0.11750256064128073,-0.18306390970664418,-0.21923462769245763,0.08426907656765029,0.07339824307954312,0.11839480811054146,0.12495425643454147,-0.059987867833504044,-0.0580746824443108,-0.05627104036176432,-0.05741915335316328,-0.07134657358129637,-0.06824462371270616,-0.07043816516709485,-0.06547258300853735,-0.021775364770877853,-0.015298326048769295,-0.02077741469790931,-0.019339689044215947,-0.009663114490658684,-0.007932289493388027,-0.005196066527937624,-0.0034951958857389245,-0.019113836257374527,-0.019312186498189134,-0.020219048845593283,-0.021404829036308373
PC8,-0.11002776562290119,-0.028081107132277565,-0.03188433847028786,0.008582377025251664,0.043761581813442314,-0.08579446378948731,-0.08531215608999924,-0.07932162858688378,-0.0815640683857328,-0.08249904967271467,-0.08390663374759647,-0.08182145997456917,-0.08734828233741644,0.015681038013003575,0.21170004384592256,-0.024150714613567496,0.028918061475846246,-0.11915707583885389,-0.24153705797083946,-0.2723145003243464,-0.1458600693174267,-0.13111723570054382,-0.06662761099537268,-0.10434817606844798,-0.1779903132596915,-0.06063839275703221,-0.463550894185642,-0.4551552166411788,0.12672932896257486,-0.019163984673332895,0.16923034850825913,-0.20736961937797393,0.07515080388034366,-0.5100466281592138,-0.22422262621021388,-0.18864961779526723,-0.024771851038525187,0.1722499980915251,-0.3310644631953706,0.08337538585231133,0.07738643661312186,-0.016492086556213523,-0.19808395730496572,-0.09727739014863722,0.17508598709401155,0.07301216934411639,0.07109703132920409,-0.02389366746439063,-0.2025568805785389,-0.09179786129583992,0.1956965083736607,0.0647331790087147,0.09208226760391425,0.09307479348503618,0.09082893595284046,0.11934047432002692,0.1727851705533564,-0.007931133969513195,-0.013509178895050716,-0.010099409550996658,-0.0072392032934623365,-0.0020487668486392514,-0.012863842933871605,-0.009247738075730223,-0.020696548425616752,-0.312385304110877,-0.3107270441715952,-0.31555190158588997,-0.2917680485227406,0.15145996956796476,0.14166657023751925,0.15313317824705894,0.12569304471796733,-0.06218210818015099,-0.06913105229302446,-0.06446730162270944,-0.058683019107877724,0.12581593307639952,0.11850821654051084,0.1274327111950112,0.11444305404152857,-0.04562520468278351,-0.10101273142816322,-0.04497766469699627,-0.2690517576506728,0.07344302622191481,0.13661098809723407,0.07374831066886227,0.22086411618583413,0.16885174949154866,0.15145505765440875,0.167658864480326,0.15054229847586656,0.21317925068128615,0.20861974345559128,0.21255815636042905,0.213194456542794,0.13226645163852793,0.12470073928795715,0.133427729372872,0.11694798653745224,-0.046008784494823915,-0.04436379315319951,-0.04816453933894495,-0.04226697305932505,-0.0300577996979575,-0.03001770330970604,-0.0337056340609198,-0.03252148733814902
PC9,0.004855477439830636,-0.511022198579344,-0.41375567191376544,0.5276737411093095,0.592399465106628,-0.096966599461227,-0.1199120426528036,0.1217538361274567,0.09854843573792227,0.09290587806174046,0.05718798572767267,0.07301331525828142,-0.09480910916035848,0.5425237507632581,-0.018966297154142726,-0.058687715304166964,-0.05596887174786109,0.039800679549815206,0.0968311635112227,0.11379028903799585,0.10106041775400659,0.0147252769860656,-0.031131511088654036,-0.0502656799486297,0.009734356051950296,-0.03313325772925666,-0.03394383550332396,0.13930856401910466,0.0650023493608129,0.03572965209814939,0.06117556999241848,0.024244747701912223,0.08048132861537322,0.08774811208469334,-0.1307937494403372,-0.1448405721108238,0.013145416075558261,0.0810875162106145,0.08610519609616171,0.3353724103762675,0.22676487794258077,-0.14297378567638303,-0.3684566731404932,0.15364586651573534,0.011307157046808115,0.20817081107162666,0.08569436334754718,-0.2727841352693626,-0.4253589160867819,0.20239894966900437,0.17260321600093217,0.16769725720566034,0.018226484857178697,-0.21053427040529998,-0.19588646557604267,0.13703895443126898,0.17375593647940718,0.028991732809715155,0.025734918933930474,0.022962136266154908,0.035098351050398505,0.0028077977244025123,0.02342498107366333,0.023955354017422003,0.01425494946984511,0.0023029202032257847,-0.021235988543368667,0.0037678479237201294,0.0334406798450888,-0.07257602078086163,-0.05798255847340984,-0.06673632982008004,-0.08596903161216776,-0.0016259674119507076,-0.0022236529206772246,-0.004324224126512561,0.012145723087482628,-0.07227664165764708,-0.06659765811312376,-0.06659013175099804,-0.07058192046432135,-0.10840459187467119,-0.014150347027184769,-0.11959931212649548,-0.31533084125810573,0.04475234896465314,-0.014751243298562939,0.054550144784798534,0.1597690059700899,-0.05294743878799521,-0.05140738364160861,-0.05795629259045473,-0.044696568415988285,-0.10522740125994685,-0.10452836321946164,-0.09929249995359707,-0.09484893622434733,-0.06840589303130547,-0.06261840418821346,-0.06268381178558881,-0.06910268867299392,0.0464727472670271,0.03360593888880458,0.05112341329795092,0.05589177416711647,0.030640208530122726,0.029198622760514836,0.04125204718278773,0.036782998369308886
PC10,-0.012410481946853262,0.07715424130565228,0.03843138561119488,-0.10033852992239556,-0.12553841902412594,-0.0002495337581075533,0.006587670570451095,-0.032075841238854194,-0.03081890207266157,-0.0302472928963459,-0.018597981173214716,-0.022065146703305113,0.008224107513150915,-0.12601214981875752,-0.03870752034106792,0.045452230397915065,0.0036005334034204446,-0.0008743232402914692,0.043929665652271487,0.02586852575023556,0.027203719754801032,0.023763774011165237,0.060593106923697605,0.016660444771904,-0.008728271842782215,-0.026718128692092388,0.18155780056089274,0.12605755805790853,-0.025572786496066178,0.1087619682523864,-0.06462393278181396,0.00834320164123763,-0.04909956556790424,0.1524331781830189,0.13840958305299791,0.1284057394420985,0.02548312609425373,-0.07157722970434974,0.03538533731640388,-0.23759366843410673,-0.18177688381286528,0.09884277752982479,0.32449104019160285,-0.04964661467209149,-0.0928412222157951,-0.22348072605180708,-0.16357349672223295,0.12226432282301021,0.33160837531569715,-0.05877759688653135,-0.12050676424298794,-0.18207009676484204,-0.11519384315875625,0.06637061439175254,0.12599513034774706,-0.06828000226332415,-0.12663894454752128,0.13676955696589183,0.12154205345260938,0.12945932067524898,0.1422125021616076,0.053745950195654806,0.09792949763518216,0.0857831653501166,0.0870684112841774,-0.26901187613514266,-0.2767701846578458,-0.26028186243776136,-0.19913624628422666,-0.12724117277137226,-0.10238711790613668,-0.12170889684107047,-0.14749251401987373,-0.001499168664678762,-0.0010928635730340227,-0.004655987130509664,0.024340898042854605,-0.15917218864312388,-0.14013885527547895,-0.15149485558845632,-0.1519321684664719,-0.14738737986307654,-0.06597757581127786,-0.18426568147667874,-0.46234858307295224,0.0370117743182499,-0.0017995442339360686,0.06057931039954517,0.22252513864083975,0.009671292167138404,0.010329299282132356,0.004093977684447396,0.024916866912399672,-0.15526481447636895,-0.14438952055765805,-0.14536306274635982,-0.13606766018220876,-0.1468461676926313,-0.12528523311501533,-0.13899881475563797,-0.1405749947242614,0.12372969405483976,0.11549161456312008,0.13587366727572164,0.14417279938306926,0.0990793767398356,0.1085739279518261,0.11820265541636849,0.11874660826084912
